Site,Date,Plane_Height,Area_2D,Area_3D,Volume
119r,19960923,8kto25k,1538.60666357,1599.43741243,2765.38592766
119r,19960923,above615.23,3223.95300782,3339.92566148,4695.2507843
119r,19960923,above615.33,3130.57661588,3244.88216086,4601.92776399
119r,19960923,above615.43,3038.68136804,3151.31002439,4508.33760261
119r,19960923,above615.53,2956.1341294,3067.12058941,4412.00014989
119r,19960923,above615.63,2870.05834994,2979.44791312,4313.3879451
119r,19960923,above615.73,2778.08516191,2885.95700668,4215.95976262
119r,19960923,above615.83,2686.50702283,2792.90795072,4120.50442162
119r,19960923,above615.93,2592.73650272,2697.71953009,4027.39052139
119r,19960923,above616.03,2503.47728656,2607.10916118,3935.71317108
119r,19960923,above616.13,2410.75486825,2513.06201918,3845.14301973
119r,19960923,above616.23,2318.37088479,2419.37417924,3753.76915499
119r,19960923,above616.33,2246.11529808,2345.79418171,3657.84129016
119r,19960923,above616.43,2180.36564732,2278.72414872,3558.48445856
119r,19960923,above616.53,2118.3322728,2215.3832525,3454.28092367
119r,19960923,above616.63,2067.37078304,2163.05756257,3348.10320508
119r,19960923,above616.73,2026.28491015,2120.35587492,3241.1481573
119r,19960923,above616.83,1993.82656559,2085.78695491,3132.99226292
119r,19960923,above616.93,1969.44953904,2058.70571928,3023.13879143
119r,19960923,above617.03,1948.63575062,2034.86872712,2911.37612002
119r,19960923,above617.13,1925.60059053,2008.61117291,2797.89782568
119r,19960923,above617.23,1888.71853759,1968.36631748,2684.06631897
119r,19960923,above617.33,1851.80690802,1927.97158319,2571.11249916
119r,19960923,above617.43,1817.49314928,1890.03333926,2458.89929839
119r,19960923,above617.53,1788.77834985,1857.60858573,2346.82764922
119r,19960923,above617.63,1761.37644409,1826.47946154,2234.60958761
119r,19960923,above617.73,1733.63100392,1795.01479923,2122.08619617
119r,19960923,above617.83,1705.41217665,1763.10956646,2009.06415318
119r,19960923,above617.93,1676.67683818,1730.73246451,1895.91531215
119r,19960923,above618.03,1647.94138343,1698.40275518,1782.79855586
119r,19960923,above618.13,1619.28011403,1666.18598645,1669.84331777
119r,19960923,above618.23,1590.49944899,1633.87977921,1557.05558052
119r,19960923,above618.33,1561.69223486,1601.60843899,1444.55939085
119r,19960923,above618.43,1532.7866593,1569.32407571,1332.38859946
119r,19960923,above618.53,1503.50182783,1536.74145175,1220.58656677
119r,19960923,above618.63,1473.83614894,1503.82243675,1109.21372791
119r,19960923,above618.73,1443.76156199,1470.54126276,998.326464858
119r,19960923,above618.83,1412.860514,1436.61524355,888.11306641
119r,19960923,above618.93,1379.83046395,1400.83000019,778.859330273
119r,19960923,above619.03,1337.51947579,1355.9543275,671.017588117
119r,19960923,above619.13,1275.82624488,1291.93849605,566.09790456
119r,19960923,above619.23,1197.45641218,1211.48981611,466.329528661
119r,19960923,above619.33,1127.7101375,1139.92564753,371.220324279
119r,19960923,above619.43,1050.06729175,1060.69704288,281.198559642
119r,19960923,above619.53,953.364875457,962.636541325,197.498899726
119r,19960923,above619.63,813.860609815,822.054226085,122.998044395
119r,19960923,above619.73,621.054297381,628.465781791,63.3812825487
119r,19960923,above619.83,335.873854264,342.644847301,25.2007252171
119r,19960923,above619.93,129.854754461,136.090654753,11.2666416438
119r,19960923,above620.03,56.1089012112,61.7935789273,8.14263923982
119r,19960923,above620.13,43.5787514598,48.6956329408,7.37027537647
119r,19960923,above620.23,37.1377725802,41.5821326378,6.72762894468
119r,19960923,above620.33,31.4737215378,35.246559827,6.04240479507
119r,19960923,above620.43,26.2089507239,29.3345049008,5.29620739276
119r,19960923,above620.53,21.39297969,23.9104188804,4.46874335695
119r,19960923,above620.63,17.0050610696,18.9631865352,3.5825412932
119r,19960923,above620.73,13.2348946358,14.6975820927,2.6300383784
119r,19960923,above620.83,9.70296018342,10.7219759579,1.63074627761
119r,19960923,above620.93,6.33587428193,6.95607625919,0.83739027399
