Date:Volume.x:Volume.y:Total_Site_Vol
1992-11-01:18,254 ± 2,941:7,259 ± 1,771:25,512 ± 4,713
1993-04-13:16,749 ± 2,167:5,309 ± 1,275:22,057 ± 3,443
1993-10-24:8,098 ± 2,086:9,960 ± 958:18,058 ± 3,044
1994-12-02:10,728 ± 2,189:6,043 ± 1,213:16,771 ± 3,403
1995-05-09:21,564 ± 2,159:6,195 ± 1,273:27,760 ± 3,431
1996-03-01:16,434 ± 2,160:8,605 ± 1,274:25,039 ± 3,434
1996-05-05:24,709 ± 2,223:9,479 ± 1,275:34,188 ± 3,498
1996-09-27:32,385 ± 2,264:8,210 ± 1,275:40,595 ± 3,539
1997-02-28:17,119 ± 2,230:7,699 ± 1,275:24,817 ± 3,505
1997-05-06:32,151 ± 2,198:7,794 ± 1,275:39,945 ± 3,474
1997-09-06:23,696 ± 2,167:7,226 ± 1,275:30,923 ± 3,443
1998-04-28:27,731 ± 2,140:7,042 ± 1,275:34,773 ± 3,415
1999-05-20:15,978 ± 2,147:4,135 ± 1,268:20,113 ± 3,415
2000-04-03:21,394 ± 2,141:3,263 ± 1,275:24,657 ± 3,416
2008-02-16:17,367 ± 1,312:5,805 ± 773:23,172 ± 2,085
2008-04-11:22,160 ± 1,363:6,440 ± 772:28,600 ± 2,135
