Date:Volume.x:Volume.y:Total_Site_Vol
1992-10-28:8,241 ± 1,277:6,197 ± 1,824:14,438 ± 3,101
1993-10-19:5,332 ± 1,135:7,019 ± 1,359:12,351 ± 2,494
1994-04-19:9,023 ± 997:5,451 ± 1,406:14,473 ± 2,403
1994-11-30:6,227 ± 1,039:5,069 ± 1,406:11,296 ± 2,445
1995-05-06:6,652 ± 1,086:6,031 ± 1,555:12,683 ± 2,641
1996-02-28:6,796 ± 1,140:5,250 ± 1,527:12,046 ± 2,667
1996-04-29:6,015 ± 1,050:3,264 ± 1,557:9,280 ± 2,607
1996-09-24:7,787 ± 1,085:4,051 ± 1,557:11,839 ± 2,642
1997-02-24:3,789 ± 1,134:2,999 ± 1,556:6,788 ± 2,690
1997-05-02:7,870 ± 1,032:7,486 ± 1,557:15,356 ± 2,589
1997-09-03:8,898 ± 1,042:8,319 ± 1,557:17,217 ± 2,599
1998-04-26:11,279 ± 1,010:9,067 ± 1,557:20,346 ± 2,567
1999-05-16:5,989 ± 1,112:4,765 ± 1,557:10,754 ± 2,669
2000-03-31:9,328 ± 1,125:3,219 ± 1,556:12,548 ± 2,681
2008-02-14:12,584 ± 642:5,394 ± 950:17,978 ± 1,592
2008-04-09:7,626 ± 700:6,543 ± 950:14,169 ± 1,650
