Date:Volume.x:Volume.y:Total_Site_Vol
1992-10-28:458 ± 136:1,699 ± 1,006:2,157 ± 1,141
1993-04-11:912 ± 89:1,433 ± 745:2,345 ± 834
1993-10-20:801 ± 96:2,111 ± 1,005:2,912 ± 1,101
1994-04-19:744 ± 96:1,662 ± 985:2,407 ± 1,081
1994-11-30:583 ± 108:1,414 ± 970:1,997 ± 1,078
1995-05-06:764 ± 91:2,323 ± 1,052:3,087 ± 1,143
1996-02-28:801 ± 96:1,939 ± 1,067:2,740 ± 1,163
1996-04-29:1,900 ± 95:1,200 ± 1,057:3,101 ± 1,152
1996-09-25:1,557 ± 96:1,430 ± 1,034:2,987 ± 1,130
1997-02-24:1,969 ± 78:751 ± 1,067:2,720 ± 1,146
1997-05-03:1,621 ± 89:3,323 ± 1,067:4,944 ± 1,156
1997-09-04:1,223 ± 94:3,105 ± 1,067:4,328 ± 1,162
1998-04-26:1,031 ± 93:2,736 ± 1,067:3,768 ± 1,161
1999-05-18:899 ± 94:2,291 ± 1,067:3,190 ± 1,161
2000-03-31:629 ± 106:1,200 ± 1,067:1,829 ± 1,173
2000-06-15:856 ± 98:1,821 ± 1,034:2,677 ± 1,132
2008-02-14:864 ± 68:2,037 ± 648:2,901 ± 716
2008-04-09:1,416 ± 68:1,850 ± 651:3,265 ± 719
