Site,Date,Plane_Height,Area_2D,Area_3D,Volume
051l,19930404,8kto25k,7972.53391339,8030.84266477,5926.4171973
051l,19930404,above829.89,12251.9751692,12319.7419667,6515.55359299
051l,19930404,above829.99,11952.8581689,12018.1927332,6034.40736513
051l,19930404,above830.09,11713.9074516,11776.9775965,5567.8128179
051l,19930404,above830.19,11476.5699371,11537.4078029,5115.57233156
051l,19930404,above830.29,11239.7191446,11298.3389533,4678.61142467
051l,19930404,above830.39,10978.139395,11034.5445679,4258.41928478
051l,19930404,above830.49,10678.8113122,10733.0595416,3857.91157357
051l,19930404,above830.59,10311.5431092,10363.659664,3486.08720042
051l,19930404,above830.69,10044.1415262,10093.6456767,3134.9319087
051l,19930404,above830.79,9657.96798382,9704.35866215,2799.19505225
051l,19930404,above830.89,9230.41988317,9273.13927702,2494.9861007
051l,19930404,above830.99,8780.03730686,8818.57704902,2221.61955922
051l,19930404,above831.09,8371.57115591,8405.67600798,1982.51034416
051l,19930404,above831.19,8031.64398228,8061.49281171,1769.9844648
051l,19930404,above831.29,7740.53878309,7766.35206856,1576.32871096
051l,19930404,above831.39,7421.87839201,7443.98851118,1398.99305487
051l,19930404,above831.49,7114.39215171,7133.2944661,1237.95630106
051l,19930404,above831.59,6824.2838505,6840.46539833,1077.08495863
051l,19930404,above831.69,6231.66600634,6245.64183344,917.988347049
051l,19930404,above831.79,5663.47950083,5675.74907231,781.386003022
051l,19930404,above831.89,4979.75990837,4990.64650384,672.621581088
051l,19930404,above831.99,4436.61078449,4446.45517398,609.77476944
051l,19930404,above832.09,4053.16912238,4062.08425718,560.476303554
051l,19930404,above832.19,3698.70120837,3706.76622908,513.76585313
051l,19930404,above832.29,3225.50885636,3232.69853608,443.48554708
051l,19930404,above832.39,2732.55133164,2738.82690221,359.944559606
051l,19930404,above832.49,2161.92411492,2167.35772128,296.535639313
051l,19930404,above832.59,1866.45347926,1871.17419233,245.09646522
051l,19930404,above832.69,1479.18693831,1483.26289472,202.029448586
051l,19930404,above832.79,1241.25876161,1244.75759503,170.957054396
051l,19930404,above832.89,1061.88309118,1064.83255955,142.490017784
051l,19930404,above832.99,892.842961344,895.262553003,116.466131016
051l,19930404,above833.09,750.768530391,752.661571858,91.7300905982
051l,19930404,above833.19,588.529667555,589.915309095,69.4534452057
051l,19930404,above833.29,436.316413916,437.259822193,45.1283129686
051l,19930404,above833.39,296.745542896,297.318676507,17.7873268884
051l,19930404,above833.49,49.7776435719,50.0813887613,4.23275065481
