Site,Date,Plane_Height,Area_2D,Area_3D,Volume
056r,20061012,8kto25k,1127.36533984,1160.45482243,308.107836216
056r,20061012,above817.53,2843.30180462,2888.5195448,653.586283955
056r,20061012,above817.63,2777.01840063,2821.7252774,641.086426242
056r,20061012,above817.73,2677.77758922,2721.4173724,629.16255841
056r,20061012,above817.83,2570.52504649,2613.0408013,617.721161249
056r,20061012,above817.93,2462.58006372,2503.95960036,603.387226331
056r,20061012,above818.03,2363.28863822,2403.43871899,586.835262782
056r,20061012,above818.13,2282.51136096,2321.20605941,569.341564124
056r,20061012,above818.23,2208.61754478,2245.73049937,550.907580977
056r,20061012,above818.33,2136.24754163,2171.71505047,532.061858539
056r,20061012,above818.43,2069.54575511,2103.1497836,513.308751055
056r,20061012,above818.53,2013.69859237,2044.90980488,494.641374748
056r,20061012,above818.63,1966.75792134,1995.06055372,475.330539355
056r,20061012,above818.73,1924.57310227,1949.67818605,454.04752067
056r,20061012,above818.83,1883.63892349,1905.45911076,431.007891773
056r,20061012,above818.93,1841.83411774,1860.37843237,406.557057177
056r,20061012,above819.03,1794.42368691,1809.88490121,380.742552898
056r,20061012,above819.13,1736.70893224,1749.5102113,353.748655626
056r,20061012,above819.23,1663.72419599,1674.42107787,325.938009253
056r,20061012,above819.33,1582.11708173,1591.09017892,297.082160983
056r,20061012,above819.43,1487.4115575,1495.08606924,266.277660465
056r,20061012,above819.53,1376.10049704,1382.69150306,232.829548767
056r,20061012,above819.63,1227.64642754,1233.28933004,197.328791057
056r,20061012,above819.73,1043.08824801,1047.79027168,162.038529038
056r,20061012,above819.83,868.761912755,872.561399774,127.966042326
056r,20061012,above819.93,710.314766991,713.280665545,99.4326243931
056r,20061012,above820.03,597.228001201,599.511900997,73.8839678047
056r,20061012,above820.13,475.466934614,477.181658552,49.1398979199
056r,20061012,above820.23,332.221216469,333.309869022,26.284038579
056r,20061012,above820.33,165.471704467,166.027153196,12.2109123955
056r,20061012,above820.43,60.3361810249,60.5717044386,5.07760937642
056r,20061012,above820.53,23.2577050673,23.351445004,1.90389851725
056r,20061012,above820.63,8.41456443922,8.44423201143,0.365441920988
