Date:Volume.x:Volume.y:Total_Site_Vol
1995-04-25:11,570 ± 1,207:11,229 ± 1,122:22,799 ± 2,329
1996-02-15:15,272 ± 1,279:11,486 ± 1,240:26,759 ± 2,519
1996-04-17:13,542 ± 1,283:6,927 ± 1,220:20,470 ± 2,503
1996-09-14:14,557 ± 1,273:7,401 ± 1,289:21,958 ± 2,562
1997-02-15:18,905 ± 1,275:8,282 ± 1,286:27,187 ± 2,561
1997-04-21:19,832 ± 1,265:14,475 ± 1,283:34,307 ± 2,548
1997-08-25:20,914 ± 1,287:13,369 ± 1,289:34,283 ± 2,576
1998-04-16:20,821 ± 1,326:15,364 ± 1,288:36,185 ± 2,614
1999-05-05:9,832 ± 1,346:11,304 ± 1,289:21,136 ± 2,635
2000-03-19:13,689 ± 1,337:9,723 ± 1,289:23,412 ± 2,626
2000-08-21:7,248 ± 1,299:7,831 ± 1,289:15,079 ± 2,588
2000-09-10:12,408 ± 834:8,307 ± 788:20,715 ± 1,622
2008-02-03:16,344 ± 797:12,297 ± 1,289:28,641 ± 2,087
2008-03-29:9,464 ± 816:7,800 ± 1,289:17,264 ± 2,105
