Site,Date,Plane_Height,Area_2D,Area_3D,Volume
220r,20030512,8kto25k,548.985682828,568.32081795,378.034074837
220r,20030512,above395.22,1892.7444494,1922.24317477,964.438362201
220r,20030512,above395.32,1869.21135113,1897.84803749,943.39413157
220r,20030512,above395.42,1842.78338418,1870.45951384,922.384008969
220r,20030512,above395.52,1816.43991594,1843.15132048,901.266754677
220r,20030512,above395.62,1789.72305407,1815.47324729,879.710323655
220r,20030512,above395.72,1763.40024471,1788.17145233,857.531738613
220r,20030512,above395.82,1736.61723048,1760.39041208,834.150687668
220r,20030512,above395.92,1707.59111239,1730.36051838,809.935015418
220r,20030512,above396.02,1648.68158128,1670.49208579,786.032281359
220r,20030512,above396.12,1584.12792078,1605.18626837,765.756453613
220r,20030512,above396.22,1521.72943683,1542.17247141,747.430175004
220r,20030512,above396.32,1472.09810391,1491.68882046,731.387565774
220r,20030512,above396.42,1450.32245986,1468.5677716,715.242448617
220r,20030512,above396.52,1433.17075129,1449.89250736,697.033737259
220r,20030512,above396.62,1416.5272282,1431.66684827,676.090771019
220r,20030512,above396.72,1399.02241581,1412.58922092,652.514254172
220r,20030512,above396.82,1379.73166364,1391.77231999,626.465636457
220r,20030512,above396.92,1356.23666139,1366.87461315,598.203400948
220r,20030512,above397.02,1320.28352777,1329.87308271,568.400169453
220r,20030512,above397.12,1261.27505903,1270.15955977,538.759077705
220r,20030512,above397.22,1193.81031639,1202.11190455,511.072523803
220r,20030512,above397.32,1116.23791917,1124.00039132,486.079554945
220r,20030512,above397.42,1068.0604803,1075.15318591,459.853678857
220r,20030512,above397.52,1026.17345599,1032.50239895,430.735396686
220r,20030512,above397.62,991.104707747,996.596903453,397.977676351
220r,20030512,above397.72,959.441612608,964.069580867,357.85485818
220r,20030512,above397.82,927.73107885,931.490228845,310.675077963
220r,20030512,above397.92,894.48500098,897.386279436,258.169182508
220r,20030512,above398.02,857.941437226,860.030950397,201.130312398
220r,20030512,above398.12,801.159567153,802.539854541,138.773446704
220r,20030512,above398.22,545.84744168,546.684473679,81.8729304818
220r,20030512,above398.32,290.043508133,290.56821542,46.2130905798
220r,20030512,above398.42,171.963230329,172.279826174,25.570080336
220r,20030512,above398.52,102.758575668,102.94244851,12.5561417883
220r,20030512,above398.62,57.3325109879,57.4245830767,4.700399467
