Site,Date,Plane_Height,Area_2D,Area_3D,Volume
043l,20000912,8kto25k,1824.26974692,1904.21446876,1617.59593514
043l,20000912,above839.82,4366.79737456,4483.7810723,2828.25300564
043l,20000912,above839.92,4304.70765477,4419.27294135,2743.22131045
043l,20000912,above840.02,4235.32897521,4347.50272576,2661.43989176
043l,20000912,above840.12,4153.56891243,4263.37720965,2584.0117371
043l,20000912,above840.22,4084.66537373,4192.02721345,2511.52315826
043l,20000912,above840.32,4029.18575836,4133.9665089,2441.8549053
043l,20000912,above840.42,3976.32268377,4078.41734145,2374.45536659
043l,20000912,above840.52,3927.69865572,4026.99477238,2308.69519673
043l,20000912,above840.62,3878.66150456,3975.09284149,2244.23798936
043l,20000912,above840.72,3835.35880387,3928.87773622,2180.63117149
043l,20000912,above840.82,3790.8660309,3881.44745299,2117.65202545
043l,20000912,above840.92,3745.27008939,3832.82836026,2055.66554685
043l,20000912,above841.02,3693.28883347,3777.82245483,1994.71125155
043l,20000912,above841.12,3617.69263166,3699.20252247,1935.1346208
043l,20000912,above841.22,3545.2376873,3623.74495832,1877.30274372
043l,20000912,above841.32,3484.20827508,3559.64279077,1820.37232717
043l,20000912,above841.42,3426.44445908,3498.71890043,1763.13161666
043l,20000912,above841.52,3360.4399073,3429.47214352,1705.40439048
043l,20000912,above841.62,3273.76067104,3339.34426411,1647.54192196
043l,20000912,above841.72,3190.80260487,3252.76542994,1590.09034596
043l,20000912,above841.82,3097.57919356,3155.82971313,1532.62552388
043l,20000912,above841.92,2987.94569245,3042.37456704,1476.69023236
043l,20000912,above842.02,2875.99433008,2926.48059405,1423.17801538
043l,20000912,above842.12,2745.98005584,2792.45361541,1372.65336413
043l,20000912,above842.22,2657.99306031,2700.60226987,1314.52590001
043l,20000912,above842.32,2581.21394918,2620.07892938,1246.70921904
043l,20000912,above842.42,2500.9572773,2536.21566733,1173.11811864
043l,20000912,above842.52,2418.10967672,2449.94710577,1092.60527897
043l,20000912,above842.62,2332.08853194,2360.6632817,998.650085026
043l,20000912,above842.72,2234.63433241,2260.11636154,901.694840763
043l,20000912,above842.82,2094.21404607,2116.88215393,806.858583964
043l,20000912,above842.92,1973.55445416,1993.67766835,716.638943578
043l,20000912,above843.02,1856.29679612,1873.98950943,629.769076332
043l,20000912,above843.12,1726.44170258,1741.86904931,548.09458434
043l,20000912,above843.22,1592.97325536,1606.31528735,471.759998364
043l,20000912,above843.32,1462.28929816,1473.75149328,403.252471344
043l,20000912,above843.42,1290.83746507,1300.49714482,345.123892654
043l,20000912,above843.52,1173.24195844,1181.17621229,297.389504813
043l,20000912,above843.62,1071.50977934,1077.85415337,255.56139272
043l,20000912,above843.72,978.283140296,983.258632826,218.721931994
043l,20000912,above843.82,893.810703078,897.580725378,185.649527296
043l,20000912,above843.92,821.227231149,824.018389243,153.198797245
043l,20000912,above844.02,716.625749546,718.59758466,119.807808326
043l,20000912,above844.12,584.174183658,585.474140412,87.5993396986
043l,20000912,above844.22,456.627375639,457.451132315,52.4428969851
043l,20000912,above844.32,225.974729307,226.424109172,24.1993846687
043l,20000912,above844.42,96.2386234919,96.4759663549,11.1531891771
