Site,Date,Plane_Height,Area_2D,Area_3D,Volume
032r,20030922,8kto25k,1904.59618347,1920.58421043,326.104473082
032r,20030922,above854.09,2539.55604609,2575.96446801,529.794210219
032r,20030922,above854.19,2263.91988395,2299.67310084,499.824332175
032r,20030922,above854.29,2036.34483459,2071.37187016,479.335192086
032r,20030922,above854.39,1877.22107696,1911.44131366,461.935801114
032r,20030922,above854.49,1750.52392341,1783.94299186,444.386256476
032r,20030922,above854.59,1648.42654409,1681.04079938,425.126310722
032r,20030922,above854.69,1551.97434122,1583.79000363,405.117890769
032r,20030922,above854.79,1459.94633444,1490.94776789,385.204307599
032r,20030922,above854.89,1375.2692328,1405.40857935,365.135722375
032r,20030922,above854.99,1298.32180868,1327.52435012,343.951217158
032r,20030922,above855.09,1225.92233579,1254.11544708,320.442633401
032r,20030922,above855.19,1152.58973408,1179.76445488,296.115629305
032r,20030922,above855.29,1060.52849083,1086.78401528,272.904874359
032r,20030922,above855.39,929.390378556,954.972557117,254.884301124
032r,20030922,above855.49,830.049981997,854.905229959,240.872996996
032r,20030922,above855.59,762.345342602,786.213853514,229.619325789
032r,20030922,above855.69,708.992303502,731.680791188,219.709132152
032r,20030922,above855.79,663.734391773,685.124421637,210.278586618
032r,20030922,above855.89,623.060020702,643.05182795,200.830347394
032r,20030922,above855.99,584.551417349,603.079104338,191.102473503
032r,20030922,above856.09,548.007457457,565.028876956,180.694474711
032r,20030922,above856.19,513.399884783,528.891830033,169.278960595
032r,20030922,above856.29,479.803471796,493.766647443,156.55851164
032r,20030922,above856.39,446.35166087,458.795065718,142.892857459
032r,20030922,above856.49,412.819335108,423.74007823,128.949834267
032r,20030922,above856.59,369.323509734,378.77273685,115.786893187
032r,20030922,above856.69,332.848928116,340.855498175,103.689391774
032r,20030922,above856.79,298.558506931,305.194491325,92.3639151243
032r,20030922,above856.89,273.529788078,279.011147252,81.5217068672
032r,20030922,above856.99,254.689011004,259.160127897,70.5228578649
032r,20030922,above857.09,235.401911858,238.919354516,59.2556746109
032r,20030922,above857.19,216.175671475,218.807870577,47.8749556195
032r,20030922,above857.29,186.930243202,188.854832436,36.8495982256
032r,20030922,above857.39,160.614419431,162.023413372,27.2030302215
032r,20030922,above857.49,130.864082354,131.866516055,18.8329431371
032r,20030922,above857.59,98.4978138839,99.1587899722,11.4385508131
032r,20030922,above857.69,63.0827852705,63.4642095408,4.7970445984
032r,20030922,above857.79,21.9929202798,22.1331408872,1.12957675542
032r,20030922,above857.89,2.62519682828,2.63776691429,0.0435255173274
