Site,Date,Plane_Height,Area_2D,Area_3D,Volume
202r,19901002,8kto25k,1668.81943929,1687.84039873,2020.52608877
202r,19901002,above432.7,2558.7276331,2583.8242064,2310.87720566
202r,19901002,above432.8,2520.00937679,2543.60077272,2204.93299425
202r,19901002,above432.9,2477.21228211,2499.41678001,2097.39052268
202r,19901002,above433.0,2429.41744103,2450.40132697,1988.78943718
202r,19901002,above433.1,2379.75429421,2399.590249,1879.20666204
202r,19901002,above433.2,2327.15032239,2345.83004319,1768.73593239
202r,19901002,above433.3,2265.9603039,2283.46076727,1657.73314439
202r,19901002,above433.4,2201.88483592,2218.28286842,1546.80938022
202r,19901002,above433.5,2131.55431284,2146.95784991,1436.2244119
202r,19901002,above433.6,2055.26257062,2069.73899957,1327.44250816
202r,19901002,above433.7,1977.58770199,1991.16751933,1221.48919386
202r,19901002,above433.8,1899.01262693,1911.71517949,1118.8219984
202r,19901002,above433.9,1813.85971044,1825.78289162,1019.7808958
202r,19901002,above434.0,1715.60785206,1726.89092834,925.290216509
202r,19901002,above434.1,1598.69192484,1609.44064125,836.925763997
202r,19901002,above434.2,1475.14992474,1485.40070395,755.871077782
202r,19901002,above434.3,1369.5934476,1379.30339901,679.360268784
202r,19901002,above434.4,1286.10273091,1295.20656458,606.407297598
202r,19901002,above434.5,1206.45162481,1214.94298034,537.627757002
202r,19901002,above434.6,1129.17309912,1137.05271073,472.935812423
202r,19901002,above434.7,1053.90810978,1061.17924566,411.747499344
202r,19901002,above434.8,977.328498343,984.015168662,352.336447429
202r,19901002,above434.9,897.932663842,904.062895134,295.815099356
202r,19901002,above435.0,816.16011874,821.75268497,242.632912209
202r,19901002,above435.1,721.414532331,726.520591761,193.771026712
202r,19901002,above435.2,538.620571265,543.295457853,153.456792518
202r,19901002,above435.3,428.59691091,432.671401388,124.877425647
202r,19901002,above435.4,347.752293487,351.155737572,100.795277626
202r,19901002,above435.5,271.174262885,273.948089489,80.0965222715
202r,19901002,above435.6,207.308660177,209.53724175,62.5453802745
202r,19901002,above435.7,152.834522792,154.609582444,48.6996515512
202r,19901002,above435.8,112.632446507,114.101831068,38.3594410243
202r,19901002,above435.9,85.8755673323,87.0816949383,30.2781564413
202r,19901002,above436.0,69.0881929202,70.0665238901,23.2473070533
202r,19901002,above436.1,55.355531474,56.1386005176,17.1721366466
202r,19901002,above436.2,44.0760017602,44.7068123525,12.2250059161
