Site,Date,Plane_Height,Area_2D,Area_3D,Volume
202r,20080216,8kto25k,1554.66557058,1576.94667263,1649.2635947
202r,20080216,above432.7,2564.35811423,2598.02747617,2131.49733468
202r,20080216,above432.8,2505.99115716,2538.53045989,2040.9403726
202r,20080216,above432.9,2436.79061209,2468.34269464,1950.67449024
202r,20080216,above433.0,2351.19561814,2381.93258813,1862.34669788
202r,20080216,above433.1,2270.97927588,2300.96079524,1776.42541509
202r,20080216,above433.2,2201.2992634,2230.53936208,1691.73636192
202r,20080216,above433.3,2131.63568037,2160.16016514,1607.40918597
202r,20080216,above433.4,2061.55276662,2089.37134813,1523.5968125
202r,20080216,above433.5,1991.1768397,2018.27743975,1440.15159383
202r,20080216,above433.6,1919.93924462,1946.31055398,1357.90196563
202r,20080216,above433.7,1848.91542221,1874.55039622,1277.5770135
202r,20080216,above433.8,1777.34298441,1802.23626661,1199.51294075
202r,20080216,above433.9,1705.76699019,1729.91088974,1123.79419937
202r,20080216,above434.0,1628.33699134,1651.71294349,1050.39167695
202r,20080216,above434.1,1540.11695993,1562.6019579,980.294980081
202r,20080216,above434.2,1433.9836167,1455.31089417,914.640008725
202r,20080216,above434.3,1356.04965221,1376.04797906,850.882986617
202r,20080216,above434.4,1294.48805367,1312.97930717,788.033411264
202r,20080216,above434.5,1241.50798951,1258.34796721,726.677702051
202r,20080216,above434.6,1189.35579417,1204.60244176,666.503775579
202r,20080216,above434.7,1134.31440072,1148.12132237,607.244701076
202r,20080216,above434.8,1077.21273598,1089.77070944,547.453783616
202r,20080216,above434.9,1015.91128611,1027.40046932,488.11023829
202r,20080216,above435.0,953.816232388,964.316109634,429.724896188
202r,20080216,above435.1,891.771893853,901.284282083,372.39132235
202r,20080216,above435.2,823.347458175,831.82583788,317.059120374
202r,20080216,above435.3,750.481958306,757.952667591,263.438192563
202r,20080216,above435.4,664.285881578,670.707206781,212.557615835
202r,20080216,above435.5,577.687811028,583.015985691,165.087192085
202r,20080216,above435.6,475.171110108,479.426884383,122.18668392
202r,20080216,above435.7,383.402662783,386.660603277,86.5061259567
202r,20080216,above435.8,298.530608552,300.873394514,57.4237353088
202r,20080216,above435.9,201.94322775,203.53149476,35.5602734214
202r,20080216,above436.0,127.165583921,128.183057951,20.9781998811
202r,20080216,above436.1,73.16599101,73.7849929457,11.565810794
202r,20080216,above436.2,39.8569985584,40.2343364632,6.11743308798
