Site,Date,Plane_Height,Area_2D,Area_3D,Volume
122r,20121012,8kto25k,2624.93032251,2673.45349413,2818.87317535
122r,20121012,above609.51,4464.42863693,4532.57501779,4204.7270284
122r,20121012,above609.61,4408.79401654,4474.57127863,4085.24287754
122r,20121012,above609.71,4345.6950808,4409.01608883,3964.86033147
122r,20121012,above609.81,4271.07876643,4332.03076054,3843.83015008
122r,20121012,above609.91,4164.08713544,4222.94452381,3721.20135422
122r,20121012,above610.01,4010.95902276,4067.66345377,3600.17614844
122r,20121012,above610.11,3848.49074273,3902.88518807,3485.64740121
122r,20121012,above610.21,3666.25804057,3718.26526794,3379.12496274
122r,20121012,above610.31,3478.23197325,3527.87733659,3281.62324531
122r,20121012,above610.41,3255.54578291,3302.89416487,3194.40336484
122r,20121012,above610.51,3043.71432464,3088.83005337,3120.45478097
122r,20121012,above610.61,2932.18146615,2975.18633447,3051.35071819
122r,20121012,above610.71,2833.22162259,2874.30068756,2978.4524421
122r,20121012,above610.81,2782.78021153,2821.90013712,2892.84413894
122r,20121012,above610.91,2729.36776719,2766.48305695,2792.54013816
122r,20121012,above611.01,2674.16344451,2709.28601156,2685.21143624
122r,20121012,above611.11,2624.80619095,2657.9424101,2571.75390967
122r,20121012,above611.21,2567.06595806,2598.2894397,2451.89755961
122r,20121012,above611.31,2367.68458429,2397.16188467,2326.66892586
122r,20121012,above611.41,2284.08466592,2311.94229166,2202.478709
122r,20121012,above611.51,2233.29706955,2259.58089239,2074.31648244
122r,20121012,above611.61,2184.86418491,2209.67520521,1945.75119004
122r,20121012,above611.71,2130.59528772,2154.04533777,1817.72501565
122r,20121012,above611.81,2058.1692145,2080.41602694,1691.91392199
122r,20121012,above611.91,1968.15942352,1989.40716915,1570.33620346
122r,20121012,above612.01,1882.77110415,1903.02625169,1453.7647495
122r,20121012,above612.11,1812.69051365,1831.88222959,1341.21065511
122r,20121012,above612.21,1748.23794573,1766.27772823,1231.43144135
122r,20121012,above612.31,1681.74269654,1698.62831152,1124.14395499
122r,20121012,above612.41,1609.93363378,1625.7064136,1018.80872093
122r,20121012,above612.51,1518.53271548,1533.18206444,916.698436471
122r,20121012,above612.61,1367.61696196,1381.108465,818.717058703
122r,20121012,above612.71,1291.98570469,1304.3073649,724.952259196
122r,20121012,above612.81,1226.34352131,1237.44599862,628.20371597
122r,20121012,above612.91,1145.33649332,1155.15421696,527.992884168
122r,20121012,above613.01,1074.58650451,1082.96447975,422.503347749
122r,20121012,above613.11,1003.92850929,1010.75532412,319.002281133
122r,20121012,above613.21,896.26209418,901.530604195,222.957481628
