Date:Area.High:Volume.High:Area.Fluc:Volume.Fluc
2002-09-25:1,598:180  ±  64:1,981:782  ±  79
2003-05-01:1,609:221  ±  64:2,733:979  ±  109
2003-09-25:1,561:162  ±  62:2,745:1101  ±  110
2005-01-02:2,542:435  ±  102:985:1839  ±  39
2005-05-12:1,947:336  ±  78:2,868:1622  ±  115
2006-10-12:1,716:345  ±  69:1,127:308  ±  45
2007-10-18:1,564:326  ±  63:2,574:388  ±  103
2008-02-08:1,564:326  ±  63:2,575:388  ±  103
2008-04-02:2,147:390  ±  86:1,376:1608  ±  55
2008-05-21:2,050:394  ±  82:1,656:1496  ±  66
2008-10-16:2,064:439  ±  83:2,039:1581  ±  82
2009-10-15:1,941:500  ±  78:1,751:1314  ±  70
2011-10-10:1,549:395  ±  62:1,745:710  ±  70
2012-10-08:1,557:431  ±  62:1,701:820  ±  68
2013-09-26:2,249:555  ±  90:1,414:1352  ±  57
2014-09-29:2,478:788  ±  99:1,361:1690  ±  54
2015-09-28:2,573:872  ±  103:1,722:1946  ±  69
2016-10-06:2,418:843  ±  97:1,089:1463  ±  44
