Date:Area.High:Volume.High:Area.Fluc:Volume.Fluc
2002-10-03:2,082:714  ±  83:2,138:1410  ±  86
2003-05-08:2,089:718  ±  84:2,135:1443  ±  85
2003-10-03:2,040:713  ±  82:2,212:1277  ±  88
2005-05-20:2,429:973  ±  97:1,776:1499  ±  71
2006-10-20:2,389:985  ±  96:1,847:1450  ±  74
2007-10-26:2,391:987  ±  96:1,820:1493  ±  73
2008-02-15:2,392:991  ±  96:1,887:1511  ±  75
2008-04-10:2,931:1429  ±  117:1,218:1917  ±  49
2008-05-29:2,819:1394  ±  113:1,433:1691  ±  57
2008-10-23:2,508:1562  ±  100:1,731:1462  ±  69
2009-10-22:2,493:1554  ±  100:1,738:1465  ±  70
2011-10-16:2,107:893  ±  84:1,924:1557  ±  77
2012-10-16:1,298:262  ±  52:3,670:1161  ±  147
2013-10-04:1,261:153  ±  50:3,739:1509  ±  150
2014-10-07:1,428:120  ±  57:3,526:1500  ±  141
2015-10-06:1,407:135  ±  56:3,521:1871  ±  141
2016-10-14:1,466:139  ±  59:3,531:2105  ±  141
