Site,Date,Plane_Height,Area_2D,Area_3D,Volume
213l,20121018,8kto25k,1343.342033,1419.39297421,1334.77889945
213l,20121018,above405.59,2062.01535881,2181.03743304,1942.30755344
213l,20121018,above405.69,2047.79364839,2165.52640959,1893.4247587
213l,20121018,above405.79,2031.42947544,2147.64450609,1841.43654869
213l,20121018,above405.89,2014.58265712,2129.19697153,1786.73775329
213l,20121018,above405.99,1995.91219516,2108.94476497,1729.46878936
213l,20121018,above406.09,1970.96074203,2082.52124502,1669.91932107
213l,20121018,above406.19,1933.60029651,2043.8307107,1609.20499845
213l,20121018,above406.29,1896.2300156,2005.23714819,1547.80527988
213l,20121018,above406.39,1849.57338316,1957.43958862,1486.58029482
213l,20121018,above406.49,1791.51421288,1898.28226046,1427.55284762
213l,20121018,above406.59,1718.40793195,1824.15673364,1372.42966666
213l,20121018,above406.69,1608.09342004,1712.78958757,1323.50525884
213l,20121018,above406.79,1487.82659024,1591.35502296,1283.30177175
213l,20121018,above406.89,1376.89927864,1479.16674024,1251.20468926
213l,20121018,above406.99,1296.14252615,1397.00724931,1225.16804884
213l,20121018,above407.09,1229.98294458,1329.26944767,1202.45318806
213l,20121018,above407.19,1178.98679256,1276.44943924,1182.21769574
213l,20121018,above407.29,1139.92733672,1235.30275026,1163.00439564
213l,20121018,above407.39,1111.50636722,1204.54327399,1142.69359892
213l,20121018,above407.49,1088.10285208,1178.59523148,1119.98649141
213l,20121018,above407.59,1066.38749611,1154.10576822,1094.39210505
213l,20121018,above407.69,1044.68794638,1129.50726113,1066.52184942
213l,20121018,above407.79,1021.58509189,1103.46107785,1036.57501509
213l,20121018,above407.89,999.16125606,1077.97100495,1005.76887712
213l,20121018,above407.99,977.082411316,1052.77967722,974.139587464
213l,20121018,above408.09,955.349987406,1027.89426313,941.299411661
213l,20121018,above408.19,933.385143927,1002.74880894,907.653369017
213l,20121018,above408.29,910.294761736,976.515961389,873.67565911
213l,20121018,above408.39,887.738124483,950.889846008,839.39383872
213l,20121018,above408.49,863.989043487,924.158997327,804.800074772
213l,20121018,above408.59,839.241361564,896.406340836,769.972326334
213l,20121018,above408.69,810.979463618,865.173762847,735.457359785
213l,20121018,above408.79,785.109723837,836.360051676,701.423598519
213l,20121018,above408.89,759.091089575,807.427198367,667.697839366
213l,20121018,above408.99,735.79086582,781.157797387,634.265065542
213l,20121018,above409.09,714.534184092,756.904063036,600.827920581
213l,20121018,above409.19,693.750115962,733.122627772,567.17617257
213l,20121018,above409.29,672.598656687,708.996472399,533.229887069
213l,20121018,above409.39,651.296050032,684.750954958,498.884967812
213l,20121018,above409.49,629.163034861,659.716914873,464.487456393
213l,20121018,above409.59,606.640254863,634.356747631,430.463332708
213l,20121018,above409.69,585.315447498,610.332386719,396.9176085
213l,20121018,above409.79,566.806397,589.253569823,363.645293968
213l,20121018,above409.89,548.990500547,568.947038001,330.699537802
213l,20121018,above409.99,532.00401221,549.529754679,297.964420465
213l,20121018,above410.09,515.073927493,530.249144256,265.405268961
213l,20121018,above410.19,495.602400887,508.551523268,233.138300638
213l,20121018,above410.29,471.33034757,482.172944944,201.676194526
213l,20121018,above410.39,444.311252769,453.194039829,171.403092625
213l,20121018,above410.49,416.659681333,423.854645944,142.577798908
213l,20121018,above410.59,373.490042736,379.412880041,115.80667416
213l,20121018,above410.69,324.044557998,329.044808512,92.7270277077
213l,20121018,above410.79,283.432548274,287.542916442,72.9748601762
213l,20121018,above410.89,241.101282693,244.49300146,56.1083488631
213l,20121018,above410.99,196.165616369,199.050279519,42.5599621433
213l,20121018,above411.09,168.881348569,171.302615152,31.4258780187
213l,20121018,above411.19,142.648040374,144.623206765,21.789856557
213l,20121018,above411.29,114.670581746,116.241440999,13.7250517149
213l,20121018,above411.39,83.5337245761,84.7287294938,7.44610023647
213l,20121018,above411.49,47.3906108598,48.236716289,3.31086223124
213l,20121018,above411.59,20.9880516005,21.5061403441,1.4419076099
213l,20121018,above411.69,10.8835208223,11.1551289301,0.580417297296
213l,20121018,above411.79,3.39901510678,3.47458428014,0.14696974418
213l,20121018,above411.89,0.321348765646,0.324074624813,0.00303949883271
