Date:Volume.x:Volume.y:Total_Site_Vol
1993-10-17:439 ± 118:1,857 ± 625:2,296 ± 743
1994-04-17:554 ± 117::NA ± NA
1995-05-03:542 ± 111:1,795 ± 647:2,337 ± 758
1996-02-26:1,050 ± 88:1,531 ± 675:2,581 ± 763
1996-04-26:1,295 ± 89:3,370 ± 719:4,666 ± 808
1996-09-22:1,035 ± 105:1,580 ± 696:2,615 ± 801
1997-02-21:243 ± 123:481 ± 712:724 ± 836
1997-04-30:1,132 ± 100:2,606 ± 713:3,738 ± 814
1997-09-01:1,013 ± 101:2,010 ± 688:3,022 ± 789
1998-04-23:919 ± 87:2,147 ± 718:3,066 ± 806
1999-05-14:489 ± 120:2,013 ± 719:2,501 ± 840
2000-03-29:993 ± 97:1,550 ± 685:2,543 ± 782
2000-06-13:392 ± 121::NA ± NA
2008-02-12:500 ± 81:1,111 ± 440:1,611 ± 521
2008-04-07:1,027 ± 74:1,006 ± 440:2,033 ± 514
