Date:Volume.x:Volume.y:Total_Site_Vol
1992-11-01:17,833 ± 1,568:26,218 ± 4,062:44,051 ± 5,630
1993-04-13:17,132 ± 1,231:28,392 ± 2,807:45,523 ± 4,038
1993-10-23:18,084 ± 1,231:31,128 ± 2,722:49,212 ± 3,953
1994-04-22:16,757 ± 1,240:26,968 ± 2,388:43,725 ± 3,628
1994-12-02:16,494 ± 1,272:32,086 ± 2,924:48,580 ± 4,196
1995-05-09:17,970 ± 1,231:28,255 ± 2,651:46,224 ± 3,882
1996-03-01:17,496 ± 1,218:27,987 ± 2,903:45,483 ± 4,121
1996-05-02:16,230 ± 1,389:15,480 ± 2,912:31,710 ± 4,301
1996-09-27:15,752 ± 1,354:20,713 ± 2,921:36,465 ± 4,275
1997-02-26:14,147 ± 1,437:14,062 ± 2,924:28,209 ± 4,361
1997-05-05:10,250 ± 1,506:6,985 ± 2,924:17,235 ± 4,430
1997-09-05:8,086 ± 1,540:10,392 ± 2,924:18,477 ± 4,464
1998-04-27:10,045 ± 1,494:13,258 ± 2,923:23,303 ± 4,417
1999-05-20:15,825 ± 1,382:19,514 ± 2,924:35,339 ± 4,306
2000-04-03:13,181 ± 1,421:9,780 ± 2,924:22,961 ± 4,345
2000-06-17:14,592 ± 1,403:15,227 ± 2,924:29,820 ± 4,327
2008-02-16:17,427 ± 952:22,584 ± 1,787:40,011 ± 2,739
2008-04-11:20,390 ± 949:20,068 ± 1,787:40,458 ± 2,736
