Site,Date,Plane_Height,Area_2D,Area_3D,Volume
225r,20080218,8kto25k,1054.69458986,1136.05628093,2466.31885396
225r,20080218,above381.95,2552.92821741,2662.62593025,3687.47429483
225r,20080218,above382.05,2544.26543539,2648.40803216,3555.06465059
225r,20080218,above382.15,2535.38894722,2634.05598302,3421.12007394
225r,20080218,above382.25,2526.17831849,2619.46142111,3286.379787
225r,20080218,above382.35,2516.46828389,2604.48160956,3151.13036521
225r,20080218,above382.45,2505.9115077,2588.83383928,3015.54216457
225r,20080218,above382.55,2494.46880702,2572.45612996,2879.83706864
225r,20080218,above382.65,2481.96777132,2555.17998038,2744.15635274
225r,20080218,above382.75,2467.60437241,2536.27162778,2608.64716487
225r,20080218,above382.85,2447.21943551,2511.8424317,2473.59155049
225r,20080218,above382.95,2414.57768845,2475.91215117,2339.80236636
225r,20080218,above383.05,2294.95566094,2353.67430412,2211.22689346
225r,20080218,above383.15,2140.93205334,2197.29931294,2094.84742844
225r,20080218,above383.25,1984.89991386,2038.5665246,1990.8300806
225r,20080218,above383.35,1800.80657932,1851.3373567,1900.56276282
225r,20080218,above383.45,1757.97155752,1805.25608092,1815.94464509
225r,20080218,above383.55,1724.47134876,1768.30335555,1727.59443158
225r,20080218,above383.65,1683.95182594,1724.19398517,1630.74980649
225r,20080218,above383.75,1617.45508368,1653.90490786,1517.39461432
225r,20080218,above383.85,1561.08956681,1593.67239136,1385.70131915
225r,20080218,above383.95,1504.38431446,1533.11319954,1236.1685855
