Site,Date,Plane_Height,Area_2D,Area_3D,Volume
225r,20111021,8kto25k,318.425218502,387.300047386,1857.80551724
225r,20111021,above381.95,1990.59154163,2109.52571322,3477.78759699
225r,20111021,above382.05,1979.50931996,2096.61972923,3400.77882857
225r,20111021,above382.15,1966.05514532,2080.92699398,3322.6366435
225r,20111021,above382.25,1952.15566065,2064.46904933,3244.19031988
225r,20111021,above382.35,1938.55611789,2048.08547765,3165.70172918
225r,20111021,above382.45,1926.10792051,2032.6613057,3087.18671208
225r,20111021,above382.55,1914.78272583,2018.15892137,3008.65781
225r,20111021,above382.65,1904.02761747,2004.08735373,2930.07814727
225r,20111021,above382.75,1893.66247904,1990.27802812,2851.40731437
225r,20111021,above382.85,1883.45638107,1976.52135904,2772.55879531
225r,20111021,above382.95,1873.21018313,1962.64179099,2693.42289652
225r,20111021,above383.05,1863.07388807,1948.80684621,2613.6161091
225r,20111021,above383.15,1852.24010829,1934.28121568,2532.5250046
225r,20111021,above383.25,1840.53959767,1918.89514033,2449.98404212
225r,20111021,above383.35,1828.61857273,1903.25459273,2364.60295571
225r,20111021,above383.45,1815.53084892,1886.42282169,2274.68165117
225r,20111021,above383.55,1802.19410253,1869.30111599,2178.8225282
225r,20111021,above383.65,1779.73677752,1842.91363196,2072.97050638
225r,20111021,above383.75,1748.11739091,1807.13814276,1948.03408615
225r,20111021,above383.85,1710.5672353,1765.30755814,1802.26516031
225r,20111021,above383.95,1676.47260691,1726.96772724,1636.72635386
