Date:Volume.x:Volume.y:Total_Site_Vol
1992-10-26:4,943 ± 1,747:3,063 ± 1,549:8,006 ± 3,296
1993-10-18:5,631 ± 1,165::NA ± NA
1994-04-17:4,895 ± 1,103:2,299 ± 1,268:7,194 ± 2,371
1994-11-28:4,575 ± 1,129::NA ± NA
1995-05-03:7,979 ± 1,118:2,669 ± 1,113:10,648 ± 2,231
1996-02-26:7,317 ± 1,187:3,127 ± 1,575:10,444 ± 2,762
1996-04-27:17,461 ± 1,052:3,692 ± 1,600:21,154 ± 2,652
1996-09-23:11,882 ± 1,156:4,898 ± 1,600:16,780 ± 2,756
1997-02-21:12,522 ± 1,040:3,271 ± 1,600:15,793 ± 2,640
1997-05-01:16,823 ± 1,004:8,518 ± 1,600:25,342 ± 2,604
1997-09-02:14,334 ± 1,061:6,626 ± 1,600:20,959 ± 2,661
1998-04-23:11,805 ± 1,133:7,795 ± 1,582:19,600 ± 2,715
1999-05-14:7,301 ± 1,225:4,606 ± 1,600:11,907 ± 2,825
2000-03-29:6,759 ± 1,112:2,247 ± 1,307:9,006 ± 2,419
2000-06-14:10,157 ± 1,142:12,558 ± 1,529:22,715 ± 2,671
2008-02-12:12,723 ± 751:6,611 ± 978:19,335 ± 1,729
2008-04-08:14,068 ± 740:6,203 ± 978:20,271 ± 1,718
