Date:Volume.x:Volume.y:Total_Site_Vol
1992-11-02:10,446 ± 811:24,817 ± 4,119:35,264 ± 4,930
1993-10-26:6,236 ± 783:24,687 ± 2,962:30,923 ± 3,745
1994-04-24:9,144 ± 694:25,181 ± 2,765:34,325 ± 3,459
1994-12-04:8,630 ± 748:21,869 ± 2,881:30,499 ± 3,629
1995-05-12:10,722 ± 620:24,999 ± 2,858:35,721 ± 3,478
1996-03-03:5,707 ± 800:21,918 ± 2,966:27,625 ± 3,766
1996-05-04:4,152 ± 734:20,554 ± 2,960:24,706 ± 3,693
1996-09-28:10,085 ± 658:16,114 ± 2,933:26,199 ± 3,591
1997-02-28:5,349 ± 763:6,675 ± 2,887:12,025 ± 3,650
1997-05-08:6,989 ± 811:15,753 ± 2,913:22,743 ± 3,724
1997-09-07:8,043 ± 721:12,140 ± 2,839:20,183 ± 3,560
1998-04-29:6,774 ± 776:16,966 ± 2,850:23,740 ± 3,626
1999-05-22:7,674 ± 722:19,994 ± 2,966:27,669 ± 3,688
2000-04-04:7,786 ± 774:15,195 ± 2,500:22,981 ± 3,274
2008-02-18:10,904 ± 440:26,952 ± 1,810:37,855 ± 2,250
2008-04-13:11,940 ± 442:31,476 ± 1,812:43,415 ± 2,253
