Date:Volume.x:Volume.y:Total_Site_Vol
1992-10-22:96,228 ± 5,747::NA ± NA
1993-10-11:88,995 ± 4,203:61,921 ± 3,408:150,916 ± 7,611
1994-04-11:85,296 ± 4,275:62,768 ± 3,408:148,064 ± 7,683
1995-04-28:79,878 ± 4,404:66,505 ± 3,409:146,383 ± 7,813
1996-02-18:86,734 ± 4,439:58,771 ± 3,405:145,505 ± 7,844
1996-04-19:83,858 ± 4,072:53,359 ± 3,409:137,218 ± 7,481
1996-09-16:74,236 ± 4,485:49,407 ± 3,399:123,643 ± 7,884
1997-02-17:81,781 ± 4,479:49,031 ± 3,409:130,811 ± 7,888
1997-04-24:97,029 ± 4,053:56,320 ± 3,409:153,349 ± 7,462
1997-08-27:92,699 ± 4,086:31,655 ± 3,409:124,355 ± 7,495
1998-04-18:89,587 ± 4,033:59,432 ± 3,409:149,019 ± 7,442
1999-05-09:80,544 ± 4,321:57,496 ± 3,409:138,040 ± 7,730
2000-03-23:79,767 ± 4,287:55,154 ± 3,409:134,921 ± 7,696
2000-06-08:82,515 ± 4,172:55,915 ± 3,409:138,430 ± 7,581
2000-08-24:84,235 ± 2,656:60,290 ± 3,409:144,524 ± 6,065
2000-09-13:80,326 ± 4,053:51,426 ± 3,409:131,752 ± 7,462
2008-02-07:45,223 ± 2,887:50,555 ± 2,083:95,778 ± 4,970
2008-04-01:75,146 ± 2,720:54,198 ± 2,083:129,344 ± 4,803
