Date:Volume.x:Volume.y:Total_Site_Vol
1992-11-02:1,066 ± 220:3,320 ± 1,462:4,387 ± 1,682
1993-04-14:1,524 ± 173:4,380 ± 1,052:5,904 ± 1,226
1993-10-25:1,064 ± 181:3,266 ± 1,046:4,330 ± 1,227
1994-04-24:1,251 ± 182:3,101 ± 1,051:4,353 ± 1,233
1994-12-04:1,119 ± 183:2,498 ± 965:3,616 ± 1,148
1995-05-10:1,300 ± 172:3,069 ± 999:4,370 ± 1,171
1996-03-03:1,464 ± 165:1,092 ± 978:2,557 ± 1,142
1996-05-04:1,454 ± 175:1,972 ± 1,050:3,426 ± 1,224
1996-09-28:1,371 ± 168:2,298 ± 1,025:3,669 ± 1,193
1997-02-28:1,583 ± 166:1,467 ± 1,053:3,050 ± 1,219
1997-05-08:1,585 ± 178:3,906 ± 1,053:5,490 ± 1,230
1997-09-07:1,396 ± 170:3,611 ± 1,053:5,007 ± 1,223
1998-04-28:1,562 ± 174:4,018 ± 1,053:5,581 ± 1,227
1999-05-22:1,390 ± 172:2,962 ± 1,053:4,353 ± 1,225
2000-04-04:1,394 ± 176:1,777 ± 1,053:3,171 ± 1,229
2000-06-18:1,578 ± 177:3,012 ± 1,053:4,590 ± 1,230
2008-02-17:1,155 ± 143:1,711 ± 594:2,867 ± 737
2008-04-12:1,690 ± 139:1,911 ± 610:3,601 ± 749
