Site,Date,Plane_Height,Area_2D,Area_3D,Volume
063l,19960406,8kto25k,1119.99058634,1181.73143719,477.486609152
063l,19960406,above799.64,1457.84128289,1529.57830685,547.032619174
063l,19960406,above799.74,1412.15566882,1480.95610382,530.891373375
063l,19960406,above799.84,1366.80527758,1432.67100671,514.466954966
063l,19960406,above799.94,1323.15189612,1386.0499633,497.209540808
063l,19960406,above800.04,1279.88841184,1339.80627798,479.49474994
063l,19960406,above800.14,1237.11370361,1294.01132312,460.895575633
063l,19960406,above800.24,1194.16239563,1248.04275496,440.6083141
063l,19960406,above800.34,1149.55743109,1200.45856891,418.651117317
063l,19960406,above800.44,1104.04181756,1152.0330677,395.640141548
063l,19960406,above800.54,1055.31805702,1100.4953147,372.194003457
063l,19960406,above800.64,1004.13050906,1046.60588343,348.47509462
063l,19960406,above800.74,953.434789896,993.237650064,324.47492688
063l,19960406,above800.84,903.143409082,940.281266008,300.059263553
063l,19960406,above800.94,851.505032841,886.031549877,275.577051679
063l,19960406,above801.04,799.501003117,831.458766592,251.355625772
063l,19960406,above801.14,748.33236145,777.735710342,227.943026668
063l,19960406,above801.24,697.52857478,724.389648131,205.719224536
063l,19960406,above801.34,648.405449557,672.771677211,184.819521491
063l,19960406,above801.44,600.330128357,622.250693737,165.109380825
063l,19960406,above801.54,553.368372133,572.909221097,146.436354957
063l,19960406,above801.64,508.107170855,525.380191508,128.951984375
063l,19960406,above801.74,465.101736379,480.280874079,112.65702117
063l,19960406,above801.84,423.233676218,436.51962575,97.6401219224
063l,19960406,above801.94,382.251175711,393.854729284,83.7202049528
063l,19960406,above802.04,341.977373506,352.111352391,70.776292323
063l,19960406,above802.14,300.981580709,309.804127889,59.0308103928
063l,19960406,above802.24,260.789127102,268.437231392,48.5753445431
063l,19960406,above802.34,222.517179138,229.073587844,39.4983987972
063l,19960406,above802.44,187.482208473,193.020418102,31.886290008
063l,19960406,above802.54,157.327733227,161.998429355,25.7178209549
063l,19960406,above802.64,132.52777573,136.456188983,20.6248503073
063l,19960406,above802.74,111.624948962,114.898614233,16.304421268
063l,19960406,above802.84,92.1314473556,94.8105980176,12.7682341366
063l,19960406,above802.94,74.2585982314,76.398144512,9.95785519589
063l,19960406,above803.04,58.1820257924,59.8331380835,7.76903582135
063l,19960406,above803.14,44.0940250553,45.3250441449,6.08073566284
063l,19960406,above803.24,32.3368801347,33.2433685686,4.65675808438
063l,19960406,above803.34,22.1946646682,22.8299965391,3.39405741918
063l,19960406,above803.44,14.4741780446,14.8877567076,2.12036777206
063l,19960406,above803.54,8.73418433959,8.97910604388,1.00749429535
