Date:Volume.x:Volume.y:Total_Site_Vol
1992-11-02:5,557 ± 543:11,884 ± 1,472:17,441 ± 2,015
1993-04-14:5,709 ± 444::NA ± NA
1993-10-25:4,030 ± 465:13,016 ± 1,090:17,046 ± 1,555
1994-04-23:5,370 ± 455:9,800 ± 1,088:15,170 ± 1,542
1994-12-04:4,415 ± 460:8,122 ± 967:12,536 ± 1,427
1995-05-10:5,049 ± 405:9,529 ± 1,090:14,578 ± 1,495
1996-03-03:4,770 ± 424:5,578 ± 1,090:10,348 ± 1,513
1996-05-03:7,156 ± 366:8,227 ± 1,090:15,383 ± 1,456
1996-09-28:4,512 ± 456:5,467 ± 1,090:9,979 ± 1,545
1997-02-28:3,391 ± 428:1,761 ± 1,090:5,151 ± 1,518
1997-05-07:7,991 ± 357:9,534 ± 1,090:17,525 ± 1,447
1997-09-07:8,444 ± 362:11,592 ± 1,090:20,035 ± 1,452
1998-04-29:4,273 ± 457:18,281 ± 1,090:22,555 ± 1,547
1999-05-20:4,664 ± 426:8,003 ± 1,090:12,668 ± 1,516
2000-04-04:6,043 ± 358:6,746 ± 1,090:12,789 ± 1,448
2008-02-13:4,134 ± 296:6,800 ± 627:10,934 ± 923
2008-04-12:7,416 ± 282:6,687 ± 666:14,103 ± 948
