Date:Volume.x:Volume.y:Total_Site_Vol
1996-03-27:23,239 ± 2,207:18,017 ± 3,566:41,257 ± 5,773
1996-04-06:19,372 ± 2,241:22,147 ± 3,566:41,520 ± 5,807
1997-04-26:34,311 ± 1,623:15,395 ± 3,566:49,706 ± 5,189
1997-08-30:27,254 ± 1,847:6,615 ± 3,566:33,869 ± 5,414
1998-04-21:27,289 ± 2,147:18,430 ± 3,566:45,719 ± 5,713
1999-05-10:21,659 ± 2,190:18,645 ± 3,566:40,304 ± 5,756
2000-03-25:23,431 ± 2,465:13,985 ± 3,553:37,416 ± 6,018
2000-08-23:24,470 ± 2,039:13,667 ± 3,566:38,137 ± 5,605
2000-09-15:24,397 ± 1,324:16,537 ± 2,179:40,935 ± 3,503
2002-05-08:28,119 ± 1,457:15,635 ± 2,161:43,754 ± 3,619
2004-06-07:26,553 ± 1,583:19,075 ± 2,088:45,627 ± 3,671
2004-11-20:26,045 ± 1,592:30,678 ± 1,959:56,723 ± 3,551
2004-12-09:28,392 ± 1,319:27,373 ± 2,098:55,765 ± 3,417
2008-02-09:28,666 ± 1,457:37,744 ± 1,674:66,410 ± 3,131
2008-04-03:35,083 ± 1,272:19,557 ± 1,591:54,640 ± 2,863
