Site,Date,Plane_Height,Area_2D,Area_3D,Volume
055r,19970425,8kto25k,6036.58519987,6190.41347416,5272.58705394
055r,19970425,above820.25,11902.4507334,12093.8225673,8663.47165382
055r,19970425,above820.35,11655.2887091,11834.2831593,8302.79031987
055r,19970425,above820.45,11421.3067264,11587.59307,7939.21635516
055r,19970425,above820.55,11132.6874626,11285.6868614,7584.98160812
055r,19970425,above820.65,10845.0691371,10984.9208618,7243.79751102
055r,19970425,above820.75,10540.0337133,10666.9421124,6916.2210851
055r,19970425,above820.85,10201.437358,10315.8628448,6606.9113077
055r,19970425,above820.95,9779.49372937,9882.30936162,6320.61495405
055r,19970425,above821.05,9260.44651094,9352.6756099,6065.54126347
055r,19970425,above821.15,8733.3992104,8816.37697134,5844.94583882
055r,19970425,above821.25,8298.98449875,8373.75072328,5641.91438709
055r,19970425,above821.35,7886.19725847,7953.26989653,5411.99796842
055r,19970425,above821.45,7420.72930177,7480.34463365,5059.0662292
055r,19970425,above821.55,6849.21826639,6901.60338025,4584.89648665
055r,19970425,above821.65,6434.66883001,6480.28949629,4062.27066278
055r,19970425,above821.75,6020.00211784,6059.33114557,3541.21546578
055r,19970425,above821.85,5509.67091064,5543.31732255,3054.47445827
055r,19970425,above821.95,5006.62058325,5035.4253034,2607.93648705
055r,19970425,above822.05,4601.20083822,4625.65177552,2198.66547311
055r,19970425,above822.15,4254.95078289,4275.53100714,1818.30046468
055r,19970425,above822.25,3873.83779646,3890.96374111,1464.70564815
055r,19970425,above822.35,3395.15115109,3409.04327096,1142.67626522
055r,19970425,above822.45,2871.94135359,2882.82384561,858.8051466
055r,19970425,above822.55,2400.2766819,2408.35459653,615.511194
055r,19970425,above822.65,1969.09283537,1974.70428391,409.805879515
055r,19970425,above822.75,1487.54477198,1491.25787013,244.537783261
055r,19970425,above822.85,856.615994172,858.954720882,128.782267939
055r,19970425,above822.95,443.575401124,445.107129865,66.6581265345
