Date:Volume.x:Volume.y:Total_Site_Vol
1992-10-22:12,902 ± 2,964:14,839 ± 4,129:27,741 ± 7,093
1993-10-13:27,521 ± 1,914:33,763 ± 3,100:61,284 ± 5,014
1994-04-14:25,378 ± 1,994:41,664 ± 3,100:67,042 ± 5,094
1994-11-25:25,533 ± 1,961:37,141 ± 2,907:62,674 ± 4,868
1995-04-30:25,560 ± 2,001::NA ± NA
1996-02-21:22,141 ± 2,067:25,935 ± 3,100:48,076 ± 5,167
1996-04-23:23,200 ± 2,021:15,090 ± 3,100:38,290 ± 5,121
1996-09-19:19,030 ± 2,107:10,681 ± 3,100:29,711 ± 5,207
1997-02-18:11,978 ± 2,093:8,403 ± 3,098:20,382 ± 5,191
1997-04-28:18,735 ± 2,085:15,390 ± 3,100:34,125 ± 5,185
1997-08-30:16,598 ± 2,091:15,872 ± 3,100:32,471 ± 5,191
1998-04-21:20,333 ± 2,048:16,283 ± 3,100:36,615 ± 5,148
1999-05-11:18,267 ± 2,063:14,523 ± 3,100:32,790 ± 5,163
2000-03-25:20,008 ± 2,104:12,377 ± 3,100:32,385 ± 5,204
2000-08-27:21,853 ± 2,107:15,215 ± 3,012:37,068 ± 5,119
2000-09-16:16,220 ± 2,079:11,916 ± 3,092:28,137 ± 5,171
2008-02-10:24,866 ± 1,328:20,259 ± 1,894:45,125 ± 3,222
2008-04-05:31,163 ± 1,224:25,772 ± 1,894:56,935 ± 3,118
