Date:Volume.x:Volume.y:Total_Site_Vol
1992-10-27:6,661 ± 1,209:4,348 ± 2,181:11,008 ± 3,390
1993-04-09:6,931 ± 901::NA ± NA
1993-10-18:5,221 ± 875::NA ± NA
1994-04-17:5,929 ± 904:5,241 ± 1,534:11,170 ± 2,438
1994-11-28:5,588 ± 975:4,150 ± 1,545:9,737 ± 2,519
1995-05-04:4,995 ± 962:5,413 ± 1,565:10,407 ± 2,527
1996-02-27:5,679 ± 923:5,446 ± 1,570:11,125 ± 2,493
1996-04-28:12,426 ± 809:4,980 ± 1,570:17,406 ± 2,379
1996-09-23:13,634 ± 731:3,731 ± 1,565:17,365 ± 2,296
1997-02-22:10,078 ± 804:3,635 ± 1,570:13,713 ± 2,375
1997-05-01:16,320 ± 636:8,611 ± 1,570:24,931 ± 2,206
1997-09-02:14,689 ± 713:7,055 ± 1,570:21,745 ± 2,282
1998-04-24:15,240 ± 688:7,715 ± 1,570:22,955 ± 2,258
1999-05-15:13,243 ± 729:4,933 ± 1,570:18,176 ± 2,299
2000-03-29:11,426 ± 793:2,807 ± 1,570:14,232 ± 2,364
2008-02-13:9,555 ± 616:4,269 ± 959:13,824 ± 1,575
2008-04-08:12,018 ± 625:3,855 ± 960:15,873 ± 1,585
