Date:Volume.x:Volume.y:Total_Site_Vol
1993-10-10:4,781 ± 743::NA ± NA
1994-04-11:3,005 ± 736::NA ± NA
1994-11-22:4,098 ± 745::NA ± NA
1995-04-27:3,573 ± 735::NA ± NA
1996-02-17:42,432 ± 3,365:19,077 ± 3,345:61,508 ± 6,710
1996-04-19:28,985 ± 3,210:15,543 ± 3,327:44,528 ± 6,536
1996-09-16:33,847 ± 3,308:2,980 ± 3,345:36,827 ± 6,653
1997-02-16:38,995 ± 3,213:11,001 ± 3,335:49,996 ± 6,548
1997-04-23:46,332 ± 3,046:16,478 ± 3,345:62,810 ± 6,391
1997-08-27:43,389 ± 3,117:11,584 ± 3,345:54,973 ± 6,462
1998-04-17:46,297 ± 3,388:18,778 ± 3,344:65,075 ± 6,732
1999-05-08:47,375 ± 3,336:18,745 ± 3,340:66,119 ± 6,676
2000-03-22:45,980 ± 3,272:15,655 ± 3,345:61,635 ± 6,617
2000-08-24:39,609 ± 2,276:17,244 ± 3,337:56,853 ± 5,613
2000-09-13:25,650 ± 3,553:13,416 ± 3,274:39,067 ± 6,826
2002-05-04:45,165 ± 2,172:16,218 ± 2,044:61,383 ± 4,216
2004-06-03:54,721 ± 2,024:17,889 ± 2,044:72,610 ± 4,069
2004-11-17:50,299 ± 2,171:15,104 ± 2,044:65,403 ± 4,215
2004-12-07:32,759 ± 2,104:22,906 ± 2,044:55,665 ± 4,148
2008-02-06:51,578 ± 2,113:20,848 ± 2,038:72,426 ± 4,152
2008-03-31:36,490 ± 2,066:22,726 ± 2,044:59,216 ± 4,110
