Date:Area.High:Volume.High:Area.Fluc:Volume.Fluc
2002-05-06:548:97  ±  22:1,023:540  ±  41
2002-09-22:538:85  ±  22:1,055:496  ±  42
2003-04-27:503:79  ±  20:1,102:359  ±  44
2003-09-22:459:44  ±  18:1,135:298  ±  45
2004-12-04:605:128  ±  24:1,736:1853  ±  69
2005-05-09:561:130  ±  22:1,411:1276  ±  56
2006-10-09:520:118  ±  21:988:340  ±  40
2007-10-15:484:95  ±  19:1,116:222  ±  45
2008-02-04:480:97  ±  19:1,088:165  ±  44
2008-03-30:1,128:390  ±  45:1,276:2355  ±  51
2008-09-22:941:225  ±  38:1,293:1764  ±  52
2009-10-12:783:229  ±  31:927:920  ±  37
2011-10-07:426:97  ±  17:1,664:573  ±  67
2012-10-05:436:131  ±  17:1,258:533  ±  50
2013-09-23:550:215  ±  22:1,102:643  ±  44
2014-09-26:761:260  ±  30:783:464  ±  31
2015-09-25:624:215  ±  25:989:318  ±  40
