Date:Volume.x:Volume.y:Total_Site_Vol
1993-04-03:68,462 ± 1,793:39,647 ± 1,457:108,109 ± 3,250
1993-10-13:57,628 ± 2,663::NA ± NA
1994-04-13:48,161 ± 2,726::NA ± NA
1994-11-24:39,717 ± 2,669:31,444 ± 1,358:71,161 ± 4,027
1995-04-30:76,458 ± 2,497:29,097 ± 1,023:105,555 ± 3,520
1996-02-22:36,382 ± 2,698::NA ± NA
1996-04-22:25,105 ± 2,717:3,919 ± 988:29,024 ± 3,705
1996-09-19:23,348 ± 2,722:4,424 ± 1,461:27,772 ± 4,183
1997-02-18:26,265 ± 2,704:3,427 ± 1,421:29,692 ± 4,125
1997-04-26:25,417 ± 2,655:8,262 ± 1,373:33,679 ± 4,028
1997-08-29:26,200 ± 2,698:7,774 ± 1,446:33,975 ± 4,144
1998-04-21:23,063 ± 2,687:11,511 ± 1,453:34,575 ± 4,140
2000-03-24:13,116 ± 2,675:6,650 ± 1,427:19,767 ± 4,102
2000-06-13:13,740 ± 2,622:5,229 ± 1,339:18,969 ± 3,961
2000-08-26:14,516 ± 2,589:6,407 ± 1,433:20,923 ± 4,022
2000-09-15:12,955 ± 2,694:3,901 ± 1,443:16,855 ± 4,137
2008-02-09:30,568 ± 1,650:14,941 ± 888:45,509 ± 2,538
2008-04-03:31,280 ± 1,663:9,316 ± 894:40,597 ± 2,557
