Date:Volume.x:Volume.y:Total_Site_Vol
1992-10-31:4,845 ± 751:5,203 ± 3,102:10,048 ± 3,853
1993-04-12:6,933 ± 522:4,786 ± 2,027:11,719 ± 2,549
1993-10-23:6,248 ± 555:5,264 ± 2,194:11,512 ± 2,749
1994-04-21:5,843 ± 559:5,051 ± 2,232:10,894 ± 2,791
1994-12-01:5,666 ± 571::NA ± NA
1996-02-29:5,777 ± 516:4,592 ± 2,228:10,369 ± 2,743
1996-05-01:6,002 ± 540:8,180 ± 2,234:14,183 ± 2,773
1996-09-26:6,282 ± 502:4,482 ± 2,234:10,764 ± 2,736
1997-02-25:5,307 ± 513:899 ± 2,234:6,206 ± 2,747
1997-05-05:5,757 ± 511:6,994 ± 2,234:12,751 ± 2,744
1997-09-05:6,537 ± 507:7,691 ± 2,234:14,228 ± 2,741
1998-04-24:6,296 ± 498:7,684 ± 2,234:13,980 ± 2,732
1999-05-20:4,861 ± 530:3,976 ± 2,234:8,837 ± 2,763
2000-04-02:6,213 ± 573:3,641 ± 2,166:9,854 ± 2,739
2008-04-11:5,525 ± 413:3,330 ± 1,330:8,855 ± 1,743
