Date:Volume.x:Volume.y:Total_Site_Vol
1992-10-27:12,012 ± 1,659:17,792 ± 2,597:29,804 ± 4,256
1993-10-18:10,930 ± 1,087::NA ± NA
1994-04-19:8,950 ± 1,224:12,870 ± 1,478:21,819 ± 2,702
1994-11-28:12,143 ± 1,192:15,687 ± 1,804:27,829 ± 2,996
1995-05-04:11,516 ± 1,256:18,917 ± 1,920:30,434 ± 3,176
1996-02-27:11,890 ± 1,229:15,586 ± 1,851:27,476 ± 3,080
1996-04-28:9,636 ± 1,210:7,183 ± 1,748:16,819 ± 2,958
1996-09-24:12,691 ± 1,152:9,170 ± 1,915:21,861 ± 3,067
1997-02-22:6,953 ± 1,233:5,144 ± 1,905:12,098 ± 3,138
1997-05-01:11,669 ± 1,177:11,085 ± 1,866:22,754 ± 3,043
1997-09-03:12,006 ± 1,212:13,371 ± 1,920:25,378 ± 3,132
1998-04-24:14,632 ± 1,160:13,847 ± 1,920:28,479 ± 3,080
1999-05-16:12,277 ± 1,190:14,818 ± 1,920:27,095 ± 3,110
2000-03-30:8,382 ± 1,264:10,591 ± 1,919:18,973 ± 3,183
2008-02-13:15,894 ± 735:16,395 ± 1,167:32,289 ± 1,902
2008-04-08:7,436 ± 800:8,238 ± 1,169:15,673 ± 1,969
