Site,Date,Plane_Height,Area_2D,Area_3D,Volume
050r,19921020,8kto25k,1185.01294357,1205.40593083,331.64604318
050r,19921020,above830.5,1916.78594504,1944.28247353,438.096092745
050r,19921020,above830.6,1866.99724176,1893.47208398,414.312007308
050r,19921020,above830.7,1815.18265492,1840.68873502,391.14850982
050r,19921020,above830.8,1762.95020759,1787.50625529,368.679060133
050r,19921020,above830.9,1710.58745316,1734.20784944,347.399997591
050r,19921020,above831.0,1657.92446666,1680.61968421,327.426770219
050r,19921020,above831.1,1604.3505519,1626.14143971,306.79988726
050r,19921020,above831.2,1550.85044612,1571.74926077,286.172982505
050r,19921020,above831.3,1498.71715568,1518.71292847,266.948622693
050r,19921020,above831.4,1447.39236998,1466.48191549,249.677676373
050r,19921020,above831.5,1396.36407275,1414.56045986,234.248787609
050r,19921020,above831.6,1346.13839804,1363.44174827,220.37109289
050r,19921020,above831.7,1296.59209144,1312.99953021,207.714210466
050r,19921020,above831.8,1247.65359554,1263.19264718,196.058170231
050r,19921020,above831.9,1199.40435081,1214.08971568,185.229711087
050r,19921020,above832.0,1152.53475472,1166.29352617,175.078234024
050r,19921020,above832.1,1106.79622229,1119.54600669,165.386319403
050r,19921020,above832.2,1061.63081376,1073.35578186,155.901516882
050r,19921020,above832.3,1017.08982857,1027.83050325,146.287101428
050r,19921020,above832.4,967.953350323,977.838111897,136.508664168
050r,19921020,above832.5,912.392571145,921.601512636,127.453255271
050r,19921020,above832.6,854.635579808,863.247166823,119.618793636
050r,19921020,above832.7,796.157897227,804.145285311,113.335569085
050r,19921020,above832.8,746.030032126,753.340474662,108.028239762
050r,19921020,above832.9,698.726380166,705.34925871,102.637674752
050r,19921020,above833.0,652.025290854,657.983403723,96.6567649354
050r,19921020,above833.1,608.05440472,613.413961579,89.9580506987
050r,19921020,above833.2,563.155375177,567.960227082,82.6238198976
050r,19921020,above833.3,505.253853899,509.558179046,75.6023639231
050r,19921020,above833.4,448.407430495,452.265188284,69.4859709036
050r,19921020,above833.5,388.14461909,391.607400564,63.5590035804
050r,19921020,above833.6,340.596002045,343.632873196,59.0249056117
050r,19921020,above833.7,299.509205986,302.113546276,54.9506264079
050r,19921020,above833.8,260.145329913,262.326013416,50.6104416567
050r,19921020,above833.9,223.378375354,225.134598679,45.3469735444
050r,19921020,above834.0,191.351657506,192.723844507,37.6572279012
050r,19921020,above834.1,157.903850795,158.953779486,27.7604262594
050r,19921020,above834.2,108.575321006,109.38129561,18.488031896
050r,19921020,above834.3,65.4727134278,66.0815411744,12.2874681926
050r,19921020,above834.4,45.2854888867,45.7288357143,7.33568033823
