Site,Date,Plane_Height,Area_2D,Area_3D,Volume
044l,19900928,8kto25k,2280.66128782,2323.53041829,1272.13968523
044l,19900928,above836.92,4036.2781298,4112.88637091,1758.68571467
044l,19900928,above837.02,3975.3483266,4049.55219019,1709.38136614
044l,19900928,above837.12,3910.18779723,3982.01269835,1657.29739673
044l,19900928,above837.22,3837.7949642,3907.20322678,1601.88714725
044l,19900928,above837.32,3763.41397788,3830.46685668,1544.22927152
044l,19900928,above837.42,3683.83814085,3748.71297594,1484.42935702
044l,19900928,above837.52,3597.80758312,3660.67324748,1422.94183158
044l,19900928,above837.62,3504.0210006,3565.04407895,1360.77373501
044l,19900928,above837.72,3403.05175569,3462.35460793,1297.84701503
044l,19900928,above837.82,3296.72068029,3354.36598134,1234.67471488
044l,19900928,above837.92,3189.32055136,3245.38463205,1171.54794942
044l,19900928,above838.02,3082.73050118,3137.25305752,1108.40596566
044l,19900928,above838.12,2979.02521648,3032.00519284,1045.15767224
044l,19900928,above838.22,2881.10169816,2932.51012233,981.751058516
044l,19900928,above838.32,2786.50450249,2836.32427496,918.698623214
044l,19900928,above838.42,2692.97441911,2741.20954042,857.260068658
044l,19900928,above838.52,2591.24166013,2637.91807534,798.51877907
044l,19900928,above838.62,2469.0096409,2514.20272149,743.937415073
044l,19900928,above838.72,2315.03748108,2358.82119214,696.408921318
044l,19900928,above838.82,2185.56347208,2227.89878484,656.213937453
044l,19900928,above838.92,2091.04668997,2131.85468112,619.472205662
044l,19900928,above839.02,2001.03421803,2040.29208776,584.482522318
044l,19900928,above839.12,1913.28960931,1950.95855127,550.89447081
044l,19900928,above839.22,1830.2750901,1866.18159089,518.393988077
044l,19900928,above839.32,1755.61684197,1789.35595262,486.546029439
044l,19900928,above839.42,1687.56584373,1718.74807863,454.84180866
044l,19900928,above839.52,1620.89659447,1649.40789358,423.07367754
044l,19900928,above839.62,1554.29268366,1580.07735898,391.245695873
044l,19900928,above839.72,1487.66789158,1510.71163434,359.326499434
044l,19900928,above839.82,1419.82107271,1440.17273866,327.192988676
044l,19900928,above839.92,1348.93238687,1366.67504234,294.938816686
044l,19900928,above840.02,1271.68975513,1286.99140135,262.920996657
044l,19900928,above840.12,1187.98462509,1201.08035199,231.68782038
044l,19900928,above840.22,1099.09532987,1110.20338594,201.642808314
044l,19900928,above840.32,1006.26440104,1015.60736407,172.714515756
044l,19900928,above840.42,913.401872531,921.193592488,145.230036095
044l,19900928,above840.52,823.861461437,830.298052703,119.813951561
044l,19900928,above840.62,730.382198481,735.756322354,97.0576260134
044l,19900928,above840.72,627.247085171,631.717030164,78.1438140485
044l,19900928,above840.82,534.488008348,538.176796747,63.4611932115
044l,19900928,above840.92,452.525454179,455.564093222,51.1075863576
044l,19900928,above841.02,370.899591715,373.408089112,41.1491805146
044l,19900928,above841.12,302.729262324,304.812277294,33.1750836203
044l,19900928,above841.22,241.986314218,243.697355439,26.8062272388
044l,19900928,above841.32,187.541404841,188.91168505,21.7353974348
044l,19900928,above841.42,139.198110322,140.253075253,17.1391451316
044l,19900928,above841.52,96.6506064088,97.4210131221,11.94356083
044l,19900928,above841.62,62.4785062954,63.0029302449,6.42909039861
044l,19900928,above841.72,29.7087959334,29.9757336182,2.12913916918
