Date:Volume.x:Volume.y:Total_Site_Vol
1993-11-17:22,790 ± 1,033::NA ± NA
1994-04-07:25,769 ± 938:46,569 ± 2,891:72,338 ± 3,829
1994-10-21:23,072 ± 1,014:48,198 ± 3,025:71,271 ± 4,039
1995-04-24:25,204 ± 966:51,422 ± 3,040:76,626 ± 4,006
1995-06-23:23,974 ± 974:45,075 ± 3,041:69,049 ± 4,014
1996-02-13:16,506 ± 1,208:23,772 ± 3,041:40,278 ± 4,249
1996-04-16:8,257 ± 1,202:7,113 ± 3,040:15,371 ± 4,242
1996-09-13:9,148 ± 1,269:4,677 ± 3,041:13,826 ± 4,310
1997-02-14:10,014 ± 1,270:6,904 ± 3,041:16,918 ± 4,311
1997-04-20:11,155 ± 1,284:12,596 ± 3,041:23,750 ± 4,325
1997-08-24:13,064 ± 1,294:17,726 ± 3,041:30,791 ± 4,335
1997-11-03:16,074 ± 1,161:45,774 ± 3,041:61,848 ± 4,202
1997-11-06:13,705 ± 1,246:35,913 ± 3,041:49,618 ± 4,287
1998-04-15:14,358 ± 1,283:21,685 ± 3,039:36,043 ± 4,322
1999-05-06:18,100 ± 1,202:39,365 ± 3,040:57,466 ± 4,242
2000-03-18:22,911 ± 1,056:35,123 ± 3,006:58,034 ± 4,062
2000-08-19:13,053 ± 1,244:21,156 ± 3,018:34,209 ± 4,262
2000-09-09:12,870 ± 770:20,654 ± 1,849:33,525 ± 2,619
2002-04-27:16,540 ± 752:27,897 ± 1,858:44,437 ± 2,610
2004-06-01:20,494 ± 734:35,686 ± 1,858:56,180 ± 2,592
2004-11-13:24,048 ± 673:50,734 ± 1,858:74,783 ± 2,531
2004-12-02:16,962 ± 723:22,236 ± 1,852:39,198 ± 2,575
2008-02-02:26,082 ± 658:63,736 ± 1,842:89,818 ± 2,500
2008-03-28:11,315 ± 771:22,665 ± 1,858:33,980 ± 2,629
