Date:Volume.x:Volume.y:Total_Site_Vol
1992-10-19:6,576 ± 1,225:44,097 ± 4,064:50,673 ± 5,289
1993-04-03:6,350 ± 938:43,795 ± 2,932:50,145 ± 3,871
1993-10-10:7,158 ± 906:32,312 ± 2,844:39,469 ± 3,750
1994-04-10:6,338 ± 904:20,871 ± 2,782:27,209 ± 3,686
1994-11-22:6,102 ± 936:33,695 ± 2,866:39,797 ± 3,802
1995-04-27:7,217 ± 949:34,827 ± 2,808:42,044 ± 3,757
1996-02-15:7,617 ± 929:32,826 ± 2,897:40,443 ± 3,826
1996-04-18:8,201 ± 953:7,569 ± 2,955:15,769 ± 3,908
1996-09-16:7,800 ± 960:25,364 ± 2,945:33,164 ± 3,905
1997-02-16:7,339 ± 942:34,886 ± 2,921:42,225 ± 3,863
1997-04-23:8,196 ± 927:17,978 ± 2,955:26,175 ± 3,883
1997-08-27:9,757 ± 866:25,974 ± 2,955:35,731 ± 3,821
1998-04-17:9,564 ± 863:34,651 ± 2,955:44,215 ± 3,818
1999-05-08:11,369 ± 883:34,883 ± 2,955:46,252 ± 3,839
2000-03-22:10,031 ± 913:32,433 ± 2,955:42,464 ± 3,868
2000-08-23:10,015 ± 887:41,986 ± 2,951:52,001 ± 3,838
2000-09-12:9,175 ± 910:29,276 ± 2,955:38,450 ± 3,865
2002-05-03:6,177 ± 659:40,823 ± 1,785:47,000 ± 2,444
2004-06-03:8,761 ± 619:42,226 ± 1,775:50,987 ± 2,394
2004-11-16:9,699 ± 615:39,889 ± 1,806:49,588 ± 2,421
2004-12-06:6,676 ± 645:28,632 ± 1,784:35,308 ± 2,429
2008-02-06:9,151 ± 649:42,916 ± 1,804:52,067 ± 2,453
2008-03-31:6,867 ± 661:52,494 ± 1,805:59,361 ± 2,466
