Date:Volume.x:Volume.y:Total_Site_Vol
1992-10-17:7,323 ± 292::NA ± NA
1993-04-02:14,742 ± 1,035:4,600 ± 1,172:19,342 ± 2,207
1993-10-09:10,203 ± 1,172:6,529 ± 1,483:16,731 ± 2,655
1994-04-09:12,013 ± 1,098:5,257 ± 1,506:17,271 ± 2,604
1995-04-26:11,603 ± 1,271:7,516 ± 1,515:19,119 ± 2,786
1996-02-16:11,650 ± 1,127:7,700 ± 1,515:19,351 ± 2,642
1996-04-17:19,314 ± 995:7,017 ± 1,515:26,331 ± 2,510
1996-09-15:14,277 ± 1,033:6,104 ± 1,515:20,381 ± 2,548
1997-02-15:15,413 ± 1,001:4,205 ± 1,515:19,618 ± 2,516
1997-04-22:17,201 ± 987:8,673 ± 1,515:25,875 ± 2,503
1997-08-26:18,120 ± 978:9,126 ± 1,515:27,246 ± 2,493
1998-04-16:14,584 ± 1,025:10,740 ± 1,515:25,324 ± 2,540
1999-05-07:11,501 ± 1,154:8,120 ± 1,515:19,621 ± 2,669
2000-03-20:14,377 ± 1,038:7,023 ± 1,515:21,400 ± 2,553
2000-06-05:15,250 ± 1,063:7,270 ± 1,515:22,521 ± 2,578
2000-08-21:14,464 ± 1,094:5,200 ± 1,515:19,664 ± 2,609
2000-09-11:12,138 ± 681:4,870 ± 926:17,008 ± 1,607
2002-05-04:11,791 ± 744:5,248 ± 926:17,040 ± 1,670
2004-06-02:14,492 ± 713:5,359 ± 926:19,852 ± 1,639
2004-11-15:10,349 ± 791:5,964 ± 926:16,313 ± 1,717
2004-12-05:15,928 ± 699:7,119 ± 926:23,047 ± 1,625
2008-02-04:10,654 ± 782:6,809 ± 926:17,463 ± 1,708
2008-03-30:15,239 ± 720:6,403 ± 926:21,643 ± 1,646
