Site,Date,Plane_Height,Area_2D,Area_3D,Volume
123l,19971117,8kto25k,974.30770421,998.641535033,1129.88919714
123l,19971117,above608.9,1918.38285231,1963.3162804,2180.24061839
123l,19971117,above609.0,1918.38285231,1963.3162804,2140.02072282
123l,19971117,above609.1,1918.38285231,1963.3162804,2096.11084628
123l,19971117,above609.2,1917.60382711,1962.53275894,2047.96362529
123l,19971117,above609.3,1913.85640992,1958.71401256,1995.58122617
123l,19971117,above609.4,1880.60953193,1924.94159516,1940.48166367
123l,19971117,above609.5,1821.98623481,1865.41998512,1886.16812704
123l,19971117,above609.6,1768.34292104,1810.76906468,1833.64325293
123l,19971117,above609.7,1712.88080984,1754.23601231,1783.30389276
123l,19971117,above609.8,1657.56730481,1697.83936842,1734.06498586
123l,19971117,above609.9,1601.5470024,1640.74051974,1685.83155476
123l,19971117,above610.0,1546.97408297,1585.10752947,1638.8666159
123l,19971117,above610.1,1495.83113245,1532.87636514,1592.51350477
123l,19971117,above610.2,1447.75704273,1483.70321295,1547.14253346
123l,19971117,above610.3,1401.05447476,1435.89842952,1503.96793674
123l,19971117,above610.4,1352.75281841,1386.48347912,1463.45459615
123l,19971117,above610.5,1309.18425795,1341.79777855,1425.36624981
123l,19971117,above610.6,1271.34748732,1302.78901663,1389.03901953
123l,19971117,above610.7,1238.4517987,1268.67422152,1353.78692094
123l,19971117,above610.8,1210.34205753,1239.26921261,1317.86915187
123l,19971117,above610.9,1184.35985304,1211.95468217,1280.71153862
123l,19971117,above611.0,1158.44397996,1184.69813754,1242.46516041
123l,19971117,above611.1,1125.25089093,1150.24941869,1203.02026809
123l,19971117,above611.2,1072.71810892,1096.52928134,1162.75949722
123l,19971117,above611.3,989.152751282,1011.81928807,1125.49097134
123l,19971117,above611.4,963.357954995,984.946908639,1087.13247252
123l,19971117,above611.5,942.031687676,962.521731829,1046.17882977
123l,19971117,above611.6,921.872853797,941.284247615,1003.61928078
123l,19971117,above611.7,901.511150183,919.89391303,959.847653417
123l,19971117,above611.8,881.348440917,898.734555356,914.979751383
123l,19971117,above611.9,861.021521199,877.447260476,868.998302119
123l,19971117,above612.0,840.716136482,856.215210252,821.985481921
123l,19971117,above612.1,821.134960523,835.711576377,773.929691386
123l,19971117,above612.2,803.367880448,816.976023306,724.796044494
123l,19971117,above612.3,786.479831285,799.101450947,674.634817692
123l,19971117,above612.4,769.911813836,781.56143925,623.588616331
123l,19971117,above612.5,753.492939402,764.195963338,571.621816298
123l,19971117,above612.6,736.904607558,746.702160729,518.551558376
123l,19971117,above612.7,719.929662083,728.868884472,464.620586704
123l,19971117,above612.8,701.201576354,709.358090048,409.219811625
123l,19971117,above612.9,676.091829036,683.508336233,353.08296968
123l,19971117,above613.0,645.862838501,652.626682685,297.300117606
123l,19971117,above613.1,609.832293129,616.030796654,242.756160169
123l,19971117,above613.2,564.051168082,569.719814771,190.39401634
123l,19971117,above613.3,447.700965548,452.816662585,143.983013801
123l,19971117,above613.4,362.625190963,367.086946881,106.478949581
123l,19971117,above613.5,273.297049665,276.950699433,76.0204878292
123l,19971117,above613.6,203.260820151,206.061249342,53.330928003
123l,19971117,above613.7,158.264981082,160.328422407,35.6416179491
123l,19971117,above613.8,121.391395421,122.776615957,21.6829893348
