Site,Date,Plane_Height,Area_2D,Area_3D,Volume
123l,19960924,8kto25k,1722.84619887,1768.52828159,1495.97131174
123l,19960924,above608.9,2708.00706085,2773.78222262,2575.63218057
123l,19960924,above609.0,2635.40015952,2698.67098468,2462.99403753
123l,19960924,above609.1,2558.7689584,2619.49544034,2352.84729289
123l,19960924,above609.2,2455.42861244,2513.68984177,2246.11107746
123l,19960924,above609.3,2333.15233993,2389.12390148,2146.44948124
123l,19960924,above609.4,2238.31060489,2292.04409679,2053.00533995
123l,19960924,above609.5,2149.66974662,2201.17180424,1964.37746756
123l,19960924,above609.6,2063.68192985,2112.94376535,1880.67227676
123l,19960924,above609.7,1970.22921207,2017.26263415,1802.59058894
123l,19960924,above609.8,1877.01805371,1921.96231806,1729.69082163
123l,19960924,above609.9,1789.51553678,1832.49469502,1661.08209999
123l,19960924,above610.0,1688.27134275,1729.45745883,1597.44786113
123l,19960924,above610.1,1595.74735482,1635.2391096,1539.15081673
123l,19960924,above610.2,1518.40029165,1556.26390937,1485.259321
123l,19960924,above610.3,1401.00229835,1437.44051346,1438.09358378
123l,19960924,above610.4,1178.64763502,1213.78756734,1406.22650225
123l,19960924,above610.5,1149.89911862,1183.77150028,1385.00863261
123l,19960924,above610.6,1130.33616802,1162.83717504,1363.67273368
123l,19960924,above610.7,1112.6234676,1143.69486675,1341.73388483
123l,19960924,above610.8,1095.46366167,1125.11425183,1317.82400833
123l,19960924,above610.9,1079.2583597,1107.48088057,1291.66260371
123l,19960924,above611.0,1063.50148826,1090.28900973,1263.44590917
123l,19960924,above611.1,1047.90527532,1073.26690726,1232.6450037
123l,19960924,above611.2,1032.22560535,1056.18849328,1198.68344535
123l,19960924,above611.3,1016.19382178,1038.79039565,1161.54021683
123l,19960924,above611.4,999.890711039,1021.15419482,1119.95147981
123l,19960924,above611.5,983.462680784,1003.4315509,1075.07564729
123l,19960924,above611.6,966.276982049,985.034819506,1028.22396394
123l,19960924,above611.7,948.896242321,966.479984718,979.854090437
123l,19960924,above611.8,931.083112019,947.531968794,930.127435865
123l,19960924,above611.9,912.829328558,928.185207147,879.070289729
123l,19960924,above612.0,894.115475845,908.427001022,826.792454879
123l,19960924,above612.1,875.339724587,888.641114477,773.342223977
123l,19960924,above612.2,856.163711864,868.508495464,718.845769579
123l,19960924,above612.3,836.73502508,848.164296802,663.526565136
123l,19960924,above612.4,817.182751646,827.729470253,607.602693988
123l,19960924,above612.5,797.443453921,807.140173836,551.070222895
123l,19960924,above612.6,777.471260866,786.350532381,493.770742461
123l,19960924,above612.7,755.683851206,763.785297683,436.020124203
123l,19960924,above612.8,733.431026198,740.766240349,377.237578786
123l,19960924,above612.9,709.72875377,716.320172932,317.879123808
123l,19960924,above613.0,682.04256194,687.922907303,258.59134201
123l,19960924,above613.1,645.932724244,651.174246285,200.385479881
123l,19960924,above613.2,581.221273101,585.933615003,144.812823688
123l,19960924,above613.3,426.891392672,431.066860557,97.6967724187
123l,19960924,above613.4,265.239563756,268.681682313,65.933077942
123l,19960924,above613.5,191.304770989,193.945044146,44.9967656335
123l,19960924,above613.6,144.388195858,146.30240875,29.1829207054
123l,19960924,above613.7,108.331250465,109.618353538,16.8225154266
123l,19960924,above613.8,74.404976672,75.1548075194,7.69913866705
