Date:Area.High:Volume.High:Area.Fluc:Volume.Fluc
2002-09-21:36:2  ±  1:2,160:1096  ±  86
2003-04-26:36:3  ±  1:2,042:873  ±  82
2003-09-21:41:3  ±  2:2,092:872  ±  84
2004-12-04:47:5  ±  2:2,088:1112  ±  84
2005-05-08:50:7  ±  2:1,771:384  ±  71
2006-10-08:43:3  ±  2:1,984:318  ±  79
2007-10-14:37:2  ±  1:2,024:525  ±  81
2008-02-04:36:2  ±  1:2,122:595  ±  85
2008-03-29:59:5  ±  2:2,175:1201  ±  87
2008-10-12:43:3  ±  2:2,309:1218  ±  92
2009-10-11:47:5  ±  2:2,031:801  ±  81
2011-10-06:42:4  ±  2:2,502:1762  ±  100
2012-10-04:44:6  ±  2:1,935:710  ±  77
2013-09-23:53:6  ±  2:2,165:1153  ±  87
2014-09-25:201:25  ±  8:1,867:702  ±  75
2015-09-24:242:45  ±  10:2,043:1153  ±  82
