Date:Volume.x:Volume.y:Total_Site_Vol
1992-10-21:57,389 ± 5,339:33,859 ± 4,551:91,248 ± 9,890
1993-10-12:55,197 ± 4,134:31,863 ± 3,242:87,059 ± 7,376
1994-04-12:60,316 ± 4,063:24,655 ± 3,032:84,971 ± 7,095
1994-11-24:59,022 ± 4,031:26,396 ± 3,264:85,418 ± 7,295
1995-04-29:65,646 ± 4,127:36,396 ± 3,271:102,042 ± 7,398
1996-02-19:63,380 ± 4,152:31,052 ± 3,260:94,432 ± 7,412
1996-04-20:31,132 ± 4,233:12,160 ± 3,277:43,292 ± 7,510
1996-09-17:57,007 ± 4,312:11,809 ± 3,277:68,816 ± 7,589
1997-02-17:47,162 ± 4,304:4,334 ± 3,238:51,496 ± 7,542
1997-04-24:48,465 ± 4,318:22,779 ± 3,277:71,244 ± 7,595
1997-08-28:46,366 ± 4,245:19,061 ± 3,266:65,427 ± 7,511
1998-04-19:58,513 ± 4,387:26,726 ± 3,277:85,240 ± 7,664
1999-05-09:56,072 ± 4,360:38,850 ± 3,276:94,922 ± 7,636
2000-03-24:69,700 ± 4,574:30,003 ± 3,270:99,702 ± 7,844
2000-06-11:59,600 ± 4,292:33,409 ± 3,241:93,009 ± 7,533
2000-08-25:63,558 ± 4,288:34,312 ± 3,203:97,870 ± 7,491
2000-09-14:56,322 ± 4,198:34,756 ± 3,230:91,078 ± 7,428
2008-02-08:76,163 ± 2,616:37,566 ± 1,989:113,729 ± 4,605
2008-04-02:44,191 ± 2,895:35,572 ± 1,999:79,763 ± 4,894
