Site,Date,Plane_Height,Area_2D,Area_3D,Volume
065r,20000325,8kto25k,1029.87354822,1054.77352719,462.724306725
065r,20000325,above796.73,1548.46699846,1590.29089493,603.271300053
065r,20000325,above796.83,1457.44361614,1498.18587403,561.466776526
065r,20000325,above796.93,1371.28700223,1411.05878664,523.000555055
065r,20000325,above797.03,1295.11165922,1333.88723826,486.871860246
065r,20000325,above797.13,1223.46268486,1261.19197639,452.457669874
065r,20000325,above797.23,1159.00206971,1195.51953159,419.516323896
065r,20000325,above797.33,1106.35635458,1141.33496731,387.361249625
065r,20000325,above797.43,1060.33629105,1093.59591977,355.518090233
065r,20000325,above797.53,1014.06190404,1045.59250846,324.115348229
065r,20000325,above797.63,962.926841247,992.81648059,293.655602693
065r,20000325,above797.73,905.582318008,933.968138437,264.905060341
065r,20000325,above797.83,840.63520158,867.63072118,238.540136281
065r,20000325,above797.93,739.534648099,765.033988387,216.974332937
065r,20000325,above798.03,668.622198115,692.481699064,200.256537578
065r,20000325,above798.13,619.251294543,641.302495559,184.646088229
065r,20000325,above798.23,577.694202488,597.825752869,168.699259585
065r,20000325,above798.33,540.700416284,558.819821664,151.716821352
065r,20000325,above798.43,503.342874228,519.482321439,132.562331247
065r,20000325,above798.53,456.734765688,470.980961064,110.748775072
065r,20000325,above798.63,399.248337005,411.741502875,87.8746174912
065r,20000325,above798.73,341.974792141,352.794554699,66.4096668991
065r,20000325,above798.83,282.098927877,291.260996579,47.0249482832
065r,20000325,above798.93,215.905190349,223.435600337,30.7982980058
065r,20000325,above799.03,154.067268313,160.02525249,18.7039107849
065r,20000325,above799.13,98.3150256071,102.798537785,10.5922597859
065r,20000325,above799.23,47.3520504348,50.5412747144,6.38371318276
065r,20000325,above799.33,29.0174428517,31.1629486948,4.18434940077
065r,20000325,above799.43,17.6231941268,19.0212128836,2.62729615636
065r,20000325,above799.53,10.6187551027,11.5175011942,1.43323489514
065r,20000325,above799.63,5.68604890473,6.21179824089,0.649222656317
