Site,Date,Plane_Height,Area_2D,Area_3D,Volume
022r,19970215,8kto25k,772.93161372,818.729922194,731.558479395
022r,19970215,above880.63,1400.76714141,1470.42348694,1480.59781332
022r,19970215,above880.73,1371.8311788,1440.07119616,1461.11051888
022r,19970215,above880.83,1343.52420594,1410.36857494,1442.40743743
022r,19970215,above880.93,1315.95206587,1381.44401836,1424.35911865
022r,19970215,above881.03,1289.11612107,1353.28902918,1406.7201297
022r,19970215,above881.13,1263.42358779,1326.271843,1389.32193413
022r,19970215,above881.23,1238.96244605,1300.48862716,1371.98573115
022r,19970215,above881.33,1213.14378292,1273.35140755,1354.74750538
022r,19970215,above881.43,1188.71197852,1247.60873408,1337.64254409
022r,19970215,above881.53,1163.33049178,1220.92587983,1320.59677655
022r,19970215,above881.63,1123.29551788,1179.63552515,1303.63285372
022r,19970215,above881.73,1060.22252801,1115.41716631,1288.83997533
022r,19970215,above881.83,1019.5138442,1073.66902576,1276.08235581
022r,19970215,above881.93,991.067737866,1044.24203775,1264.21975388
022r,19970215,above882.03,965.534850299,1017.75949027,1252.82129964
022r,19970215,above882.13,926.566083242,977.8789113,1242.1960924
022r,19970215,above882.23,878.910742479,929.35250728,1233.87988564
022r,19970215,above882.33,831.643101414,881.298735706,1227.73299884
022r,19970215,above882.43,810.39289372,859.271081099,1220.68101314
022r,19970215,above882.53,792.985417838,841.05933416,1209.28054857
022r,19970215,above882.63,776.277050914,823.554738791,1193.43887442
022r,19970215,above882.73,759.70454261,806.205867938,1173.72187632
022r,19970215,above882.83,743.252738968,788.991998602,1152.35903371
022r,19970215,above882.93,727.195455777,772.176012107,1130.53994322
022r,19970215,above883.03,711.511565501,755.735879988,1108.24271707
022r,19970215,above883.13,696.425040886,739.859773052,1084.33056566
022r,19970215,above883.23,683.123103375,725.592048116,1058.95005036
022r,19970215,above883.33,673.992746616,715.024667106,1032.97348916
022r,19970215,above883.43,667.717570631,706.943594296,1006.14006557
022r,19970215,above883.53,661.99371088,699.326455784,978.133665804
022r,19970215,above883.63,656.567232563,691.951016828,948.80879481
022r,19970215,above883.73,651.42443781,684.807452708,918.159957392
022r,19970215,above883.83,646.503447476,677.84823751,885.789417305
022r,19970215,above883.93,641.623629504,670.922540581,851.033619565
022r,19970215,above884.03,636.671211035,663.93138718,814.317919064
022r,19970215,above884.13,631.563164922,656.806819231,776.226309229
022r,19970215,above884.23,626.185030633,649.457524976,737.2796105
022r,19970215,above884.33,620.350174296,641.716849554,697.676816655
022r,19970215,above884.43,614.108685475,633.629088721,657.536036196
022r,19970215,above884.53,607.377456955,625.126457253,616.958814908
022r,19970215,above884.63,600.012976095,616.093238567,576.124335491
022r,19970215,above884.73,591.652087946,606.186979739,535.162085876
022r,19970215,above884.83,580.929577223,594.013420571,494.268152055
022r,19970215,above884.93,568.073493843,579.789750355,453.688384263
022r,19970215,above885.03,552.495441299,562.980435711,413.652138984
022r,19970215,above885.13,532.825475087,542.22441857,374.477223426
022r,19970215,above885.23,510.665987312,519.08391098,336.578184664
022r,19970215,above885.33,487.415097543,494.937953333,300.081729229
022r,19970215,above885.43,463.114827886,469.799748023,265.091878648
022r,19970215,above885.53,437.702151627,443.594770431,231.703353132
022r,19970215,above885.63,411.191303956,416.328427793,200.017171345
022r,19970215,above885.73,384.072190944,388.490524772,170.081106874
022r,19970215,above885.83,353.979392904,357.747761015,142.101178118
022r,19970215,above885.93,325.001188017,328.170565326,116.121104148
022r,19970215,above886.03,298.348701848,300.955875561,91.9649871662
022r,19970215,above886.13,269.544748246,271.660275806,69.5253156822
022r,19970215,above886.23,232.613222356,234.328072801,48.6324853618
022r,19970215,above886.33,189.61195895,191.029141071,30.1369081209
022r,19970215,above886.43,140.057366429,141.226678964,15.4002214578
022r,19970215,above886.53,77.1875154898,78.0545310842,5.81205863437
022r,19970215,above886.63,31.5796112037,32.0940480447,1.15388970942
022r,19970215,above886.73,4.72865875147,4.98221990813,0.048372836157
022r,19970215,above886.83,1.62385980547,1.77428021945,0.0208456751383
022r,19970215,above886.93,0.767494973481,0.842909831396,0.0109197783679
022r,19970215,above887.03,0.279439738064,0.307633149491,0.00555132300672
022r,19970215,above887.13,0.0306231108472,0.0336336103424,0.000515471396092
022r,19970215,above887.23,0.0,0.0,0.0
