Site,Date,Plane_Height,Area_2D,Area_3D,Volume
022r,20041114,8kto25k,1588.1255373,1617.89211315,1576.59739267
022r,20041114,above880.63,2105.44894994,2151.9459882,1802.38553429
022r,20041114,above880.73,2030.3010223,2075.70429565,1714.56595373
022r,20041114,above880.83,1951.11599261,1995.48367172,1632.65298895
022r,20041114,above880.93,1885.14836458,1928.46904862,1555.85939564
022r,20041114,above881.03,1833.05353939,1875.31536184,1482.70106619
022r,20041114,above881.13,1787.29163208,1828.49934843,1411.89723476
022r,20041114,above881.23,1740.84343197,1780.99770543,1343.23880329
022r,20041114,above881.33,1693.16415892,1732.25375705,1276.88858923
022r,20041114,above881.43,1645.19792239,1683.23650089,1212.95518386
022r,20041114,above881.53,1596.47296759,1633.47158874,1151.41190287
022r,20041114,above881.63,1544.47420639,1580.47584853,1092.12219353
022r,20041114,above881.73,1486.64895712,1521.71894866,1034.73736858
022r,20041114,above881.83,1427.26466111,1461.45404247,980.086494356
022r,20041114,above881.93,1368.37615031,1401.72680133,928.934056821
022r,20041114,above882.03,1310.02688696,1342.55728617,881.41389427
022r,20041114,above882.13,1246.01880793,1277.77848047,837.792161556
022r,20041114,above882.23,1169.10990683,1200.19772227,798.696311444
022r,20041114,above882.33,1062.55267317,1093.11207557,766.046949618
022r,20041114,above882.43,946.594452766,976.672698166,741.102530763
022r,20041114,above882.53,889.709665127,919.248761437,718.198167584
022r,20041114,above882.63,847.981425272,876.923505348,694.050058004
022r,20041114,above882.73,821.673722114,849.942552551,667.765342823
022r,20041114,above882.83,802.215506663,829.742068044,640.374641777
022r,20041114,above882.93,784.547936298,811.297201507,612.744365981
022r,20041114,above883.03,767.28558533,793.254004386,584.789387712
022r,20041114,above883.13,750.424904719,775.613511723,555.386953993
022r,20041114,above883.23,734.17818149,758.582870361,524.729165
022r,20041114,above883.33,718.278364117,741.892574621,493.951185121
022r,20041114,above883.43,702.459611498,725.280246935,463.153854443
022r,20041114,above883.53,685.007389018,707.06093207,432.231370699
022r,20041114,above883.63,666.186071486,687.49411557,401.277029431
022r,20041114,above883.73,646.733571777,667.30593948,370.362240066
022r,20041114,above883.83,626.709998759,646.548944319,339.220004852
022r,20041114,above883.93,599.159722216,618.191422292,307.496284133
022r,20041114,above884.03,570.942809317,589.114509174,276.186276867
022r,20041114,above884.13,540.290379457,557.60856475,245.919073815
022r,20041114,above884.23,506.500062281,522.97950355,217.475560606
022r,20041114,above884.33,467.258754268,482.885661525,191.496444186
022r,20041114,above884.43,418.449102768,433.14820281,168.702337252
022r,20041114,above884.53,368.126539741,381.866415136,149.938846376
022r,20041114,above884.63,324.989011425,337.829774227,134.876888516
022r,20041114,above884.73,287.262233928,299.256874292,122.958638369
022r,20041114,above884.83,255.259541676,266.509576851,113.668326505
022r,20041114,above884.93,236.588409192,247.201445995,106.059630719
022r,20041114,above885.03,223.859735529,233.867717689,99.0605194476
022r,20041114,above885.13,211.549540747,220.965965907,92.4426582876
022r,20041114,above885.23,199.55454084,208.384689746,86.1762695621
022r,20041114,above885.33,187.858549774,196.107369976,80.2263156203
022r,20041114,above885.43,174.745830544,182.423476792,74.6078875731
022r,20041114,above885.53,160.526106858,167.653953913,69.5110123568
022r,20041114,above885.63,148.504588006,155.100469334,64.830048557
022r,20041114,above885.73,136.177835373,142.263356099,60.434633474
022r,20041114,above885.83,125.243745693,130.855194538,56.2919308614
022r,20041114,above885.93,114.598128739,119.758508233,52.260116402
022r,20041114,above886.03,104.608434111,109.328214198,48.3232063236
022r,20041114,above886.13,95.1974709325,99.4871354654,44.3167056692
022r,20041114,above886.23,85.8961165947,89.7711353613,39.6315887079
022r,20041114,above886.33,77.0671292299,80.5353230002,34.2022003003
022r,20041114,above886.43,68.3932298268,71.4669607741,28.6196372119
022r,20041114,above886.53,60.4332872475,63.1174325946,23.3261132346
022r,20041114,above886.63,52.739050789,55.0395548168,18.4273620043
022r,20041114,above886.73,45.0245441602,46.9542082004,13.9878591491
022r,20041114,above886.83,37.2366489488,38.8219038926,10.0988601316
022r,20041114,above886.93,29.7247019602,30.9894695252,6.85806918743
022r,20041114,above887.03,22.401267039,23.3580756379,4.29805666491
022r,20041114,above887.13,15.4402180679,16.1108381811,2.42222458875
022r,20041114,above887.23,9.35605394656,9.77073277312,1.1933187366
