Date:Area.High:Volume.High:Area.Fluc:Volume.Fluc
1990-06-10:3,385:773  ±  135:776:595  ±  31
1991-07-28:3,335:734  ±  133:1,156:965  ±  46
2002-09-20:3,273:454  ±  131:977:630  ±  39
2003-04-27:3,226:373  ±  129:962:594  ±  38
2003-09-22:3,222:369  ±  129:638:367  ±  26
2004-12-31:3,250:475  ±  130:972:913  ±  39
2005-05-09:3,291:449  ±  132:759:522  ±  30
2006-10-09:3,250:268  ±  130:948:574  ±  38
2007-10-15:3,257:397  ±  130:699:387  ±  28
2008-02-05:3,259:397  ±  130:666:351  ±  27
2008-03-30:3,334:481  ±  133:924:798  ±  37
2008-10-13:3,271:391  ±  131:558:301  ±  22
2009-10-12:3,114:340  ±  125:717:341  ±  29
2011-10-07:3,136:196  ±  125:1,085:428  ±  43
2012-10-05:3,130:166  ±  125:1,420:512  ±  57
2013-09-23:3,137:203  ±  125:1,058:627  ±  42
2014-09-26:3,241:222  ±  130:585:315  ±  23
2015-09-25:3,041:169  ±  122:606:65  ±  24
2016-10-03:3,138:130  ±  126:541:11  ±  22
