Site,Date,Plane_Height,Area_2D,Area_3D,Volume
145l,20071025,8kto25k,479.845390598,509.767639996,352.404540211
145l,20071025,above541.62,887.195910154,926.84581953,571.027299167
145l,20071025,above541.72,880.056246359,918.815217051,561.733083702
145l,20071025,above541.82,861.434489503,899.164837567,551.980016845
145l,20071025,above541.92,842.737202664,879.366261837,542.594096793
145l,20071025,above542.02,826.09196723,861.603258921,533.392460909
145l,20071025,above542.12,810.526696503,844.893134783,524.212280881
145l,20071025,above542.22,795.147547225,828.326639843,515.005085557
145l,20071025,above542.32,779.412140221,811.352466031,505.73659591
145l,20071025,above542.42,764.200051412,794.827291309,496.460196057
145l,20071025,above542.52,750.797374823,780.044233341,486.897430192
145l,20071025,above542.62,737.966238534,765.829823684,476.644552397
145l,20071025,above542.72,723.310168274,749.801900922,465.684290031
145l,20071025,above542.82,704.108892232,729.30635811,454.178194474
145l,20071025,above542.92,668.685628315,692.814824183,443.209032466
145l,20071025,above543.02,637.233297405,660.507250605,433.435337928
145l,20071025,above543.12,616.703410446,639.141144102,424.111550516
145l,20071025,above543.22,601.119350176,622.684306194,414.496941529
145l,20071025,above543.32,585.866645329,606.590325428,404.508494582
145l,20071025,above543.42,570.381248032,590.226890014,394.241337641
145l,20071025,above543.52,555.728068425,574.690332327,383.251433866
145l,20071025,above543.62,541.647875946,559.726332072,371.349908221
145l,20071025,above543.72,527.341924887,544.496994234,358.601625564
145l,20071025,above543.82,512.689714374,528.893637108,344.805823489
145l,20071025,above543.92,497.488741527,512.727515239,329.795502703
145l,20071025,above544.02,483.600270261,497.931075629,314.226377187
145l,20071025,above544.12,469.356644282,482.800240506,298.50152918
145l,20071025,above544.22,456.042748878,468.608865238,282.690936868
145l,20071025,above544.32,443.145318104,454.876259673,266.061297021
145l,20071025,above544.42,429.503384779,440.439345177,248.441865009
145l,20071025,above544.52,415.793711628,425.959537273,229.972107218
145l,20071025,above544.62,401.578561451,411.02062601,211.022317624
145l,20071025,above544.72,384.572319912,393.330534534,192.195492589
145l,20071025,above544.82,366.044348145,374.148230515,173.999200523
145l,20071025,above544.92,347.87321979,355.334415582,156.502903088
145l,20071025,above545.02,329.148400618,335.95484017,139.734719879
145l,20071025,above545.12,312.989638731,319.158008797,123.504865183
145l,20071025,above545.22,297.665861745,303.206510048,107.515065641
145l,20071025,above545.32,282.229428829,287.164541439,91.8875302938
145l,20071025,above545.42,265.089179737,269.521261274,76.8369204433
145l,20071025,above545.52,247.761879403,251.741017835,62.483350514
145l,20071025,above545.62,224.896132526,228.551539879,48.9553510692
145l,20071025,above545.72,195.357578687,198.786411667,36.6389744441
145l,20071025,above545.82,157.066812267,160.303480761,26.1947576761
145l,20071025,above545.92,105.960853516,109.023678277,18.7763020686
145l,20071025,above546.02,79.0916131249,81.9642426375,14.5493094397
145l,20071025,above546.12,61.4215075338,64.0829066844,11.518674187
145l,20071025,above546.22,50.4174773412,52.8310461512,9.04617771678
145l,20071025,above546.32,41.4213029801,43.5512480681,6.93450198873
145l,20071025,above546.42,33.4335470063,35.2607015133,5.16229800127
145l,20071025,above546.52,26.372872471,27.9248404117,3.74298793206
145l,20071025,above546.62,20.3210514402,21.6540517046,2.65894435768
145l,20071025,above546.72,15.2505324338,16.3594742186,1.84946372906
145l,20071025,above546.82,10.8404440515,11.7313957872,1.27775089432
145l,20071025,above546.92,7.30434599471,8.00407746525,0.935004420178
145l,20071025,above547.02,5.47598677535,6.03251093474,0.723264805579
145l,20071025,above547.12,4.13404832035,4.56427249047,0.54968556752
145l,20071025,above547.22,3.04358000979,3.36336297055,0.399313449044
145l,20071025,above547.32,2.11959100707,2.34476714816,0.268393319937
145l,20071025,above547.42,1.35848278973,1.50495451304,0.158091223196
145l,20071025,above547.52,0.760794069156,0.844350341639,0.0725392994128
145l,20071025,above547.62,0.332506103711,0.369302829995,0.0200117098108
