Site,Date,Plane_Height,Area_2D,Area_3D,Volume
145l,19970904,8kto25k,550.778922585,583.244774045,496.295129435
145l,19970904,above541.62,955.085548975,1009.51859136,922.551581589
145l,19970904,above541.72,941.49747515,994.701777257,909.425267586
145l,19970904,above541.82,927.974457647,979.93776805,895.912197284
145l,19970904,above541.92,914.347897923,965.069650617,882.084158186
145l,19970904,above542.02,900.565894639,950.047647094,867.996831261
145l,19970904,above542.12,886.722088147,934.969206186,853.723746019
145l,19970904,above542.22,872.683695892,919.712862967,839.245939523
145l,19970904,above542.32,858.402415524,904.227034847,824.542851279
145l,19970904,above542.42,843.395903222,888.050480612,809.7063576
145l,19970904,above542.52,828.563624849,872.05459724,794.638203949
145l,19970904,above542.62,814.331611712,856.653939008,778.989829484
145l,19970904,above542.72,800.113725864,841.275798433,762.668003782
145l,19970904,above542.82,785.665544138,825.673083471,745.600241588
145l,19970904,above542.92,771.190241085,810.021998947,727.710143344
145l,19970904,above543.02,756.074402386,793.732630578,708.987001669
145l,19970904,above543.12,740.072789993,776.550414515,689.649546421
145l,19970904,above543.22,722.448618238,757.742434261,669.949570416
145l,19970904,above543.32,705.191133454,739.344405879,650.057508305
145l,19970904,above543.42,685.372161896,718.469345203,630.149382259
145l,19970904,above543.52,662.366862138,694.512987306,610.149867742
145l,19970904,above543.62,636.319651343,667.595614704,590.209754948
145l,19970904,above543.72,591.088281158,621.616080349,571.431807361
145l,19970904,above543.82,547.633243021,577.446835135,555.12046184
145l,19970904,above543.92,526.552744224,555.590373043,539.013824449
145l,19970904,above544.02,509.15784145,537.327544973,522.824487267
145l,19970904,above544.12,495.916961601,523.033425132,506.615692403
145l,19970904,above544.22,484.626799522,510.574760883,490.129231908
145l,19970904,above544.32,472.697622439,497.453960412,472.662465108
145l,19970904,above544.42,458.307870315,481.897771919,454.178966643
145l,19970904,above544.52,418.91156955,441.48499282,436.333842684
145l,19970904,above544.62,396.655510858,418.206428191,419.65333222
145l,19970904,above544.72,381.020019993,401.500071175,403.384779051
145l,19970904,above544.82,368.41830667,387.780475502,387.346142304
145l,19970904,above544.92,357.220803883,375.445372024,371.344090624
145l,19970904,above545.02,346.978493742,364.054106963,355.293396451
145l,19970904,above545.12,337.699649576,353.612592858,338.996033046
145l,19970904,above545.22,328.226417694,342.970661784,322.288413643
145l,19970904,above545.32,318.983761178,332.527168102,305.31605265
145l,19970904,above545.42,309.867844237,322.22906096,288.155914452
145l,19970904,above545.52,301.894040698,313.128424262,270.710319634
145l,19970904,above545.62,294.586624294,304.748552936,252.742481929
145l,19970904,above545.72,287.205643771,296.312895296,234.000324955
145l,19970904,above545.82,279.695871558,287.794107419,214.297493342
145l,19970904,above545.92,272.069411796,279.20209604,193.922151914
145l,19970904,above546.02,264.655345451,270.85238022,173.10737948
145l,19970904,above546.12,256.708647509,261.999302902,151.988643771
145l,19970904,above546.22,248.344423831,252.788344245,130.736899805
145l,19970904,above546.32,238.733139692,242.400754102,109.569451299
145l,19970904,above546.42,224.943114661,227.913322384,88.9301542359
145l,19970904,above546.52,210.346245297,212.68244201,69.2442189709
145l,19970904,above546.62,195.052889837,196.827812176,50.6694405883
145l,19970904,above546.72,171.790064108,173.106671222,33.6830936302
145l,19970904,above546.82,137.189891216,138.209811475,19.1530636371
145l,19970904,above546.92,65.5583341759,66.4148079608,9.16380483374
145l,19970904,above547.02,28.6990077336,29.4699477943,5.70180180111
145l,19970904,above547.12,18.2403934579,18.9034598923,3.86705522287
145l,19970904,above547.22,12.6802947403,13.2202744443,2.66097800685
145l,19970904,above547.32,9.03987384111,9.45875546724,1.79505144084
145l,19970904,above547.42,6.50240989369,6.80504545722,1.15005396623
145l,19970904,above547.52,4.48763708731,4.68692159849,0.657699020818
145l,19970904,above547.62,2.78895557259,2.90682274753,0.304535574643
