Date:Volume.x:Volume.y:Total_Site_Vol
1992-10-28:3,173 ± 514::NA ± NA
1993-04-11:3,307 ± 434:1,954 ± 979:5,261 ± 1,413
1993-10-19:3,150 ± 411:2,833 ± 965:5,983 ± 1,376
1994-04-18:2,974 ± 402:1,563 ± 953:4,537 ± 1,355
1994-11-29:3,205 ± 422:1,964 ± 973:5,169 ± 1,395
1995-05-05:2,858 ± 418:2,239 ± 958:5,097 ± 1,376
1996-02-28:3,276 ± 410:1,587 ± 930:4,862 ± 1,340
1996-04-28:5,771 ± 396:1,038 ± 978:6,809 ± 1,375
1996-09-24:5,001 ± 404:1,385 ± 960:6,386 ± 1,364
1997-02-23:5,061 ± 425:925 ± 956:5,986 ± 1,381
1997-05-02:4,755 ± 408:3,043 ± 988:7,798 ± 1,396
1997-09-03:4,808 ± 398:3,358 ± 984:8,166 ± 1,382
1998-04-24:3,642 ± 407:2,750 ± 987:6,392 ± 1,394
1999-05-16:2,916 ± 419:1,568 ± 988:4,484 ± 1,407
2000-03-31:2,865 ± 428:1,186 ± 978:4,051 ± 1,406
2000-06-14:3,114 ± 418:1,989 ± 981:5,102 ± 1,399
2008-02-14:3,546 ± 316:925 ± 603:4,471 ± 919
2008-04-09:3,950 ± 348:1,028 ± 604:4,978 ± 951
