Site,Date,Plane_Height,Area_2D,Area_3D,Volume
081l,19940415,8kto25k,538.823299098,590.065170052,783.06474079
081l,19940415,above737.26,2202.32815712,2268.01526758,1586.45485674
081l,19940415,above737.36,2159.94099242,2224.05402884,1561.06317769
081l,19940415,above737.46,2123.68987566,2186.26093631,1535.63822593
081l,19940415,above737.56,2093.02868865,2153.99354054,1509.42786364
081l,19940415,above737.66,2063.38530835,2122.70207396,1482.3638872
081l,19940415,above737.76,2033.52670524,2091.13329727,1455.16585646
081l,19940415,above737.86,2004.93002393,2060.63800409,1428.17157413
081l,19940415,above737.96,1976.93938734,2030.52947914,1401.49075057
081l,19940415,above738.06,1951.9665852,2003.0755449,1374.89222821
081l,19940415,above738.16,1929.34874574,1977.82738388,1347.83475916
081l,19940415,above738.26,1908.95578923,1954.6754178,1319.44251195
081l,19940415,above738.36,1889.57930604,1932.47250474,1289.02976683
081l,19940415,above738.46,1870.79358667,1910.78922538,1256.58523403
081l,19940415,above738.56,1852.44520444,1889.49599317,1222.3604302
081l,19940415,above738.66,1834.48906471,1868.57655074,1186.29344069
081l,19940415,above738.76,1816.75212643,1847.87251099,1148.36296585
081l,19940415,above738.86,1799.05238444,1827.24165187,1107.54245218
081l,19940415,above738.96,1780.84639037,1806.15914386,1062.35161982
081l,19940415,above739.06,1761.05328632,1783.59707868,1012.49004162
081l,19940415,above739.16,1738.86984929,1758.80001191,958.002717802
081l,19940415,above739.26,1713.36709305,1730.89224569,899.133233744
081l,19940415,above739.36,1682.0233273,1697.41860894,836.149098756
081l,19940415,above739.46,1643.01718916,1656.57275247,769.949901828
081l,19940415,above739.56,1540.08802765,1552.04682272,703.841570689
081l,19940415,above739.66,1400.39927275,1411.09375045,643.962339403
081l,19940415,above739.76,1287.72670281,1297.42172361,590.495426173
081l,19940415,above739.86,1199.21960446,1208.05458533,539.578568629
081l,19940415,above739.96,1119.92934425,1127.99116655,488.542976318
081l,19940415,above740.06,1042.82148623,1050.14605234,436.000341982
081l,19940415,above740.16,958.043852841,964.656903114,380.151793162
081l,19940415,above740.26,861.352933874,867.269031183,320.9352038
081l,19940415,above740.36,775.65245789,780.792539091,260.504803023
081l,19940415,above740.46,681.639484777,685.962639212,201.309119812
081l,19940415,above740.56,574.953282556,578.512186208,145.064937924
081l,19940415,above740.66,479.397012062,482.249685628,95.9619565374
081l,19940415,above740.76,366.524893682,368.724086515,54.8875838691
081l,19940415,above740.86,198.589028504,200.222587603,28.3281092907
081l,19940415,above740.96,95.0996953384,96.2474690746,14.3938328185
081l,19940415,above741.06,49.931066149,50.6873120684,7.79414239672
