Date:Volume.x:Volume.y:Total_Site_Vol
1993-04-02:8,227 ± 1,003::NA ± NA
1993-10-08:6,931 ± 656::NA ± NA
1994-04-09:10,824 ± 1,010::NA ± NA
1994-11-21:8,056 ± 1,020::NA ± NA
1995-04-26:11,510 ± 1,023:6,193 ± 1,224:17,703 ± 2,247
1996-02-16:9,263 ± 1,081:7,639 ± 1,211:16,902 ± 2,292
1996-04-17:9,695 ± 1,060:3,702 ± 1,224:13,397 ± 2,284
1996-09-15:5,493 ± 1,118:3,314 ± 1,224:8,807 ± 2,342
1997-02-15:7,980 ± 1,116:4,630 ± 1,224:12,610 ± 2,340
1997-04-22:7,562 ± 1,127:6,944 ± 1,224:14,506 ± 2,351
1997-08-26:6,415 ± 1,131:7,082 ± 1,224:13,498 ± 2,355
1998-04-16:10,920 ± 1,027:8,857 ± 1,222:19,777 ± 2,249
1999-05-07:13,308 ± 987:6,595 ± 1,224:19,904 ± 2,211
2000-03-20:11,330 ± 1,027:6,387 ± 1,223:17,716 ± 2,250
2000-06-05:10,094 ± 969:5,223 ± 1,208:15,318 ± 2,177
2000-08-22:11,566 ± 1,004:5,144 ± 1,210:16,710 ± 2,214
2000-09-11:10,659 ± 629:5,454 ± 747:16,114 ± 1,376
2002-04-30:11,042 ± 674:5,791 ± 748:16,832 ± 1,422
2004-11-14:13,239 ± 654:6,131 ± 748:19,370 ± 1,402
2004-12-03:12,894 ± 630:4,113 ± 748:17,007 ± 1,378
2008-02-03:15,951 ± 612:5,051 ± 1,220:21,002 ± 1,832
2008-03-29:14,640 ± 628:3,795 ± 1,224:18,435 ± 1,851
