Site,Date,Plane_Height,Area_2D,Area_3D,Volume
024l,20091011,8kto25k,2031.20726602,2054.82860528,801.317339756
024l,20091011,above875.97,2078.63409954,2102.86449351,805.915202958
024l,20091011,above876.07,2019.83735808,2043.15237267,775.183631591
024l,20091011,above876.17,1961.83574682,1984.27116565,739.876131731
024l,20091011,above876.27,1902.82790113,1924.42692398,702.664905291
024l,20091011,above876.37,1841.24684556,1862.05106238,665.690881058
024l,20091011,above876.47,1777.97032472,1797.99566566,629.705673882
024l,20091011,above876.57,1716.24854971,1735.46917139,594.617372717
024l,20091011,above876.67,1653.81712475,1672.23497372,560.242129705
024l,20091011,above876.77,1586.23082333,1603.90302404,526.648351917
024l,20091011,above876.87,1517.06859497,1534.03279178,493.565413168
024l,20091011,above876.97,1446.65256901,1462.94950528,461.682353674
024l,20091011,above877.07,1377.49843447,1393.14023458,430.414868582
024l,20091011,above877.17,1310.06331,1325.03372929,400.230381624
024l,20091011,above877.27,1246.99012757,1261.23818304,371.589868244
024l,20091011,above877.37,1190.15436469,1203.6126452,343.735152987
024l,20091011,above877.47,1137.00335614,1149.62815094,315.780379181
024l,20091011,above877.57,1083.54235111,1095.32698589,287.269651795
024l,20091011,above877.67,1029.75717373,1040.68367483,258.050375996
024l,20091011,above877.77,980.981586132,990.978937387,227.760979748
024l,20091011,above877.87,933.104423353,942.147159972,197.511643796
024l,20091011,above877.97,872.030696585,880.192681139,168.799362863
024l,20091011,above878.07,784.45573009,791.870107944,143.865211662
024l,20091011,above878.17,690.903371595,697.643237647,124.320696043
024l,20091011,above878.27,624.32790558,630.377055747,107.981492335
024l,20091011,above878.37,567.657958774,572.964562486,93.0962379682
024l,20091011,above878.47,508.659432671,513.200379878,78.6339127315
024l,20091011,above878.57,435.382171305,439.180732115,64.8565918998
024l,20091011,above878.67,368.167078744,371.219789107,52.0282297801
024l,20091011,above878.77,302.521631299,304.84313065,39.777164992
024l,20091011,above878.87,235.049412101,236.782277552,26.7048759881
024l,20091011,above878.97,152.071667035,153.375360711,16.555505588
024l,20091011,above879.07,93.3576967768,94.3153273608,9.82990767541
024l,20091011,above879.17,55.8971762483,56.5764291993,5.50828843514
024l,20091011,above879.27,31.9771960644,32.4378948478,2.97967847791
024l,20091011,above879.37,18.0704356404,18.3792534254,1.63983269759
024l,20091011,above879.47,10.2181203674,10.4334289345,0.945322544295
024l,20091011,above879.57,5.54371984979,5.68432552266,0.540399891903
024l,20091011,above879.67,2.83210504119,2.90726488836,0.214960734606
024l,20091011,above879.77,0.906170982983,0.929930294403,0.0340255800936
