Site,Date,Plane_Height,Area_2D,Area_3D,Volume
030r,20011006,8kto25k,2527.45699004,2568.92021147,2710.80274596
030r,20011006,above855.47,3094.03315399,3152.8053107,3178.04591573
030r,20011006,above855.57,3063.94111892,3121.83188967,2996.48356124
030r,20011006,above855.67,3007.1341813,3063.26574496,2813.12173965
030r,20011006,above855.77,2933.94723642,2987.75047341,2630.84224415
030r,20011006,above855.87,2854.29428661,2905.6225664,2451.45443639
030r,20011006,above855.97,2773.64335147,2822.46759752,2275.40377018
030r,20011006,above856.07,2687.51193862,2733.88698124,2102.790483
030r,20011006,above856.17,2570.26933193,2614.31689445,1935.59626536
030r,20011006,above856.27,2417.215279,2459.10280598,1777.79970471
030r,20011006,above856.37,2262.63363517,2302.65160559,1632.50898111
030r,20011006,above856.47,2125.21887888,2163.56972202,1498.11788137
030r,20011006,above856.57,1946.34575622,1983.28585175,1376.15157307
030r,20011006,above856.67,1711.248987,1747.12088963,1274.03903462
030r,20011006,above856.77,1564.61095682,1599.50146788,1187.04670971
030r,20011006,above856.87,1416.22772992,1450.23381535,1111.12599196
030r,20011006,above856.97,1242.71364893,1275.94978555,1049.60213425
030r,20011006,above857.07,1144.4398578,1176.75754388,999.09471097
030r,20011006,above857.17,1092.99099294,1124.19864879,953.187211499
030r,20011006,above857.27,1051.33367733,1081.37085407,909.441498618
030r,20011006,above857.37,1011.25917166,1040.11880888,867.722332664
030r,20011006,above857.47,972.553501301,1000.22066471,828.05506256
030r,20011006,above857.57,937.916859517,964.363360121,790.2369299
030r,20011006,above857.67,905.872009271,931.079592668,753.878365248
030r,20011006,above857.77,874.349434766,898.333497444,718.859219291
030r,20011006,above857.87,842.532135937,865.340425504,685.225069604
030r,20011006,above857.97,809.608920714,831.289846495,653.073643133
030r,20011006,above858.07,775.04478753,795.661850605,620.850803486
030r,20011006,above858.17,738.366764778,758.009631393,584.058379711
030r,20011006,above858.27,695.745814774,714.563812392,545.679905125
030r,20011006,above858.37,642.177038858,660.318354389,509.216972253
030r,20011006,above858.47,581.893929269,599.398877216,476.385623749
030r,20011006,above858.57,534.369321116,551.210982723,446.932613858
030r,20011006,above858.67,496.605427295,512.742487096,420.212953588
030r,20011006,above858.77,471.374470159,486.71845004,395.217022361
030r,20011006,above858.87,448.233539497,462.766035916,371.335175753
030r,20011006,above858.97,426.264006035,439.95579231,348.356480771
030r,20011006,above859.07,405.266989542,418.09135969,326.084144235
030r,20011006,above859.17,384.942210206,396.898648732,304.417725085
030r,20011006,above859.27,365.332411735,376.41512623,283.222955518
030r,20011006,above859.37,346.056923075,356.257485547,262.383229087
030r,20011006,above859.47,326.968088885,336.291516811,241.7266746
030r,20011006,above859.57,307.92477014,316.388700317,220.769793812
030r,20011006,above859.67,289.155675404,296.767930405,199.466780997
030r,20011006,above859.77,270.582487725,277.366677334,178.253438776
030r,20011006,above859.87,251.093780402,257.090574968,157.494609065
030r,20011006,above859.97,230.509722665,235.75398988,137.573158346
030r,20011006,above860.07,208.243092285,212.826719797,118.993413568
030r,20011006,above860.17,187.43711709,191.492251256,101.825238151
030r,20011006,above860.27,168.408685766,171.967921231,85.9338839709
030r,20011006,above860.37,149.932418394,153.022192116,71.1655028769
030r,20011006,above860.47,129.043776874,131.708271395,57.8226990854
030r,20011006,above860.57,110.739203565,113.003620243,46.0665930304
030r,20011006,above860.67,94.7159239171,96.6129479359,35.8321983398
