Site,Date,Plane_Height,Area_2D,Area_3D,Volume
030r,20061009,8kto25k,972.870664694,1017.93525677,1913.5118938
030r,20061009,above855.47,1871.0461519,1940.7221054,2692.91597563
030r,20061009,above855.57,1850.79986452,1920.07219927,2630.69758715
030r,20061009,above855.67,1808.31397152,1876.67544732,2566.24974059
030r,20061009,above855.77,1763.98165344,1831.32865604,2501.0318931
030r,20061009,above855.87,1718.32508054,1784.63510586,2435.73707039
030r,20061009,above855.97,1673.10147751,1738.3795617,2370.39624086
030r,20061009,above856.07,1628.23392651,1692.47998828,2304.80350582
030r,20061009,above856.17,1584.60391974,1647.8001288,2239.09141312
030r,20061009,above856.27,1542.18182649,1604.26658185,2173.39724234
030r,20061009,above856.37,1500.63250594,1561.50594333,2108.17460652
030r,20061009,above856.47,1464.39165007,1523.95812973,2043.6973944
030r,20061009,above856.57,1429.38194058,1487.59051469,1979.81902279
030r,20061009,above856.67,1395.38998603,1452.19621956,1916.51237182
030r,20061009,above856.77,1363.74065929,1419.07076979,1853.62879655
030r,20061009,above856.87,1334.9020491,1388.66670166,1790.98890378
030r,20061009,above856.97,1308.55783661,1360.67069677,1728.42604224
030r,20061009,above857.07,1284.8057157,1335.1959232,1665.87720824
030r,20061009,above857.17,1262.30798324,1310.91253402,1603.19477315
030r,20061009,above857.27,1239.67743656,1286.48292289,1540.4821089
030r,20061009,above857.37,1216.34810572,1261.32902897,1478.10460435
030r,20061009,above857.47,1192.87704599,1236.02915757,1416.26332659
030r,20061009,above857.57,1169.4526671,1210.7527902,1354.95399
030r,20061009,above857.67,1145.39677169,1184.80999345,1294.23504044
030r,20061009,above857.77,1120.98237504,1158.52447948,1234.12151889
030r,20061009,above857.87,1093.47263136,1129.13315224,1174.86017977
030r,20061009,above857.97,1063.94445702,1097.71582444,1116.72902468
030r,20061009,above858.07,1032.79711212,1064.75362023,1058.2052055
030r,20061009,above858.17,1001.53696423,1031.74491976,994.72470885
030r,20061009,above858.27,970.37122024,998.854168692,928.860078285
030r,20061009,above858.37,939.123789941,965.914995972,863.305026804
030r,20061009,above858.47,907.588035314,932.704715443,798.595690115
030r,20061009,above858.57,876.955725691,900.370192117,735.048159295
030r,20061009,above858.67,846.260374723,867.949371783,673.000462056
030r,20061009,above858.77,816.291571702,836.186271559,612.659679775
030r,20061009,above858.87,785.660294362,803.74380973,554.08033564
030r,20061009,above858.97,753.848212199,770.14610123,497.282842547
030r,20061009,above859.07,720.697703831,735.268873057,442.336053301
030r,20061009,above859.17,686.874647005,699.79991343,389.239149238
030r,20061009,above859.27,649.318763152,660.700259599,338.13993991
030r,20061009,above859.37,602.984838809,612.909110551,289.706194032
030r,20061009,above859.47,562.455445359,570.99272399,243.938572109
030r,20061009,above859.57,517.056462011,524.369192266,200.123635369
030r,20061009,above859.67,460.343056868,466.564608855,159.188705333
030r,20061009,above859.77,389.402514427,394.627050707,122.782522342
030r,20061009,above859.87,304.356471498,308.657234504,93.4438165135
030r,20061009,above859.97,223.750799918,227.23246417,71.2117523666
030r,20061009,above860.07,144.135339279,146.955456348,56.2095632481
030r,20061009,above860.17,107.389635902,109.722251061,46.5781874723
030r,20061009,above860.27,89.987615452,91.9224618066,38.6445673224
030r,20061009,above860.37,75.8727070503,77.483927428,31.5257828337
030r,20061009,above860.47,64.5995949259,65.9622889059,25.1150751089
030r,20061009,above860.57,54.545154839,55.6882833406,19.3770585273
030r,20061009,above860.67,45.2950074944,46.2341830325,14.4239388521
