Site,Date,Plane_Height,Area_2D,Area_3D,Volume
030r,20030922,8kto25k,2531.9292778,2573.77984456,2524.36764605
030r,20030922,above855.47,3014.53737277,3072.12319639,2890.00474753
030r,20030922,above855.57,2938.65341141,2994.26150878,2716.00858519
030r,20030922,above855.67,2866.87424056,2920.33613333,2543.1807194
030r,20030922,above855.77,2799.23205292,2850.32703064,2371.88579938
030r,20030922,above855.87,2735.00587499,2783.45318666,2202.28803062
030r,20030922,above855.97,2669.18763001,2714.86567088,2034.4215618
030r,20030922,above856.07,2577.41736683,2620.37237399,1869.42622548
030r,20030922,above856.17,2475.34792186,2515.65768037,1709.94907756
030r,20030922,above856.27,2361.82411272,2399.6096667,1556.91627051
030r,20030922,above856.37,2244.92235012,2280.47338964,1411.96988504
030r,20030922,above856.47,2130.46200544,2164.16891089,1275.552299
030r,20030922,above856.57,2020.06192695,2052.25248053,1147.48722656
030r,20030922,above856.67,1907.76964014,1938.63943304,1027.72345675
030r,20030922,above856.77,1789.33059395,1819.02407092,916.664991531
030r,20030922,above856.87,1645.97421413,1674.70403176,815.751494601
030r,20030922,above856.97,1439.56737693,1467.66193779,729.299244002
030r,20030922,above857.07,1237.09580026,1264.69615917,661.16402345
030r,20030922,above857.17,954.34784464,981.580955635,614.192447982
030r,20030922,above857.27,827.175435391,853.991054004,587.467164552
030r,20030922,above857.37,771.017668409,797.17801759,567.189640792
030r,20030922,above857.47,738.071955691,763.400947138,549.358467859
030r,20030922,above857.57,709.825827214,734.249267438,532.762033564
030r,20030922,above857.67,683.207641359,706.685653018,517.136299487
030r,20030922,above857.77,657.499892782,680.012465072,502.369876553
030r,20030922,above857.87,632.128565947,653.678256381,488.447990387
030r,20030922,above857.97,607.27544607,627.863465141,475.340296093
030r,20030922,above858.07,583.000285248,602.633340833,461.280313923
030r,20030922,above858.17,558.70127446,577.411002177,441.58793618
030r,20030922,above858.27,535.324161424,553.107490429,418.807727045
030r,20030922,above858.37,512.243520722,529.118610121,395.578107877
030r,20030922,above858.47,489.333731588,505.330422673,372.48512736
030r,20030922,above858.57,467.112928286,482.244791728,349.840069569
030r,20030922,above858.67,445.259061617,459.546366658,327.982336134
030r,20030922,above858.77,424.021468084,437.483733068,307.093749203
030r,20030922,above858.87,403.402757857,416.05543513,287.126091551
030r,20030922,above858.97,383.075917333,394.933034618,267.978476075
030r,20030922,above859.07,363.206862475,374.27232954,249.545124955
030r,20030922,above859.17,343.390194619,353.6817409,231.730946326
030r,20030922,above859.27,323.237014055,332.785485376,214.464650922
030r,20030922,above859.37,303.010577288,311.834341763,197.687315033
030r,20030922,above859.47,283.297191136,291.399087022,181.239354155
030r,20030922,above859.57,263.748097286,271.137609061,164.594766022
030r,20030922,above859.67,244.692250153,251.364825032,147.670877994
030r,20030922,above859.77,225.727188364,231.68935602,130.878686232
030r,20030922,above859.87,206.209100602,211.487199847,114.569772208
030r,20030922,above859.97,186.247111393,190.870489308,99.1172439668
030r,20030922,above860.07,167.152723593,171.146756544,84.8083191195
030r,20030922,above860.17,148.799975578,152.216975971,71.6149123238
030r,20030922,above860.27,131.289282629,134.220704218,59.5123502331
030r,20030922,above860.37,114.882810015,117.392726648,48.356674898
030r,20030922,above860.47,98.3216787019,100.447988257,38.3030658367
030r,20030922,above860.57,82.9121419689,84.6826139294,29.4664088523
030r,20030922,above860.67,69.446219963,70.8829836162,21.8958073554
