Site,Date,Plane_Height,Area_2D,Area_3D,Volume
044l,19990508,8kto25k,3518.95250219,3608.79789307,3086.59385575
044l,19990508,above836.92,4842.97206696,4981.73934422,4325.54715044
044l,19990508,above837.02,4642.48356981,4776.07208115,4039.84468222
044l,19990508,above837.12,4445.26470008,4574.01722576,3768.19207737
044l,19990508,above837.22,4250.32594594,4374.48560226,3511.66876
044l,19990508,above837.32,4045.84080893,4165.75154277,3270.9325497
044l,19990508,above837.42,3844.85485655,3960.83578127,3046.33234046
044l,19990508,above837.52,3590.72263771,3703.07576443,2838.7377868
044l,19990508,above837.62,3292.18861323,3401.31130447,2656.35260722
044l,19990508,above837.72,2976.29346035,3082.49777567,2499.77350084
044l,19990508,above837.82,2255.18270509,2358.96024738,2383.89066697
044l,19990508,above837.92,2000.95280149,2102.59418871,2326.2606317
044l,19990508,above838.02,1935.50810219,2035.12448772,2273.23979235
044l,19990508,above838.12,1882.89001095,1980.3547499,2219.1124533
044l,19990508,above838.22,1804.71910579,1899.74508485,2165.76831624
044l,19990508,above838.32,1752.43079094,1844.53663248,2113.51653809
044l,19990508,above838.42,1710.15060386,1798.86777157,2060.59598349
044l,19990508,above838.52,1671.75521638,1756.79145728,2003.19341898
044l,19990508,above838.62,1634.08671788,1715.23440701,1941.99234139
044l,19990508,above838.72,1586.8783451,1663.93500217,1876.58526046
044l,19990508,above838.82,1538.01734309,1610.74942987,1802.04378655
044l,19990508,above838.92,1475.87880928,1544.05860751,1715.97338101
044l,19990508,above839.02,1432.22165842,1495.66784069,1616.14191218
044l,19990508,above839.12,1394.09489893,1452.74536612,1500.42555724
044l,19990508,above839.22,1359.03459388,1412.82936111,1371.51509158
044l,19990508,above839.32,1324.01956477,1372.94145114,1238.95329468
044l,19990508,above839.42,1289.98378081,1334.02794441,1108.39674661
044l,19990508,above839.52,1259.12851231,1298.39079568,980.94573462
