Site,Date,Plane_Height,Area_2D,Area_3D,Volume
047r,20130925,8kto25k,3387.38585233,3472.15858485,4938.89510044
047r,20130925,above834.38,4612.20606883,4740.22933336,5729.87709508
047r,20130925,above834.48,4181.5221027,4306.6127979,5306.40468265
047r,20130925,above834.58,3801.39892939,3923.4705737,4915.59678516
047r,20130925,above834.68,3429.52480415,3548.48587078,4560.45702848
047r,20130925,above834.78,3021.62660652,3137.29481572,4244.45004679
047r,20130925,above834.88,2718.56502549,2830.57826849,3961.83095813
047r,20130925,above834.98,2549.38064501,2657.47671255,3703.99338697
047r,20130925,above835.08,2460.3187114,2564.27563529,3456.82263211
047r,20130925,above835.18,2384.94581262,2484.49937068,3217.28714262
047r,20130925,above835.28,2294.03531261,2388.88669584,2985.51860643
047r,20130925,above835.38,2230.01951536,2320.02514161,2761.56233712
047r,20130925,above835.48,2173.89209496,2258.96385069,2543.53949667
047r,20130925,above835.58,2116.20715393,2196.39320791,2331.10015663
047r,20130925,above835.68,2054.79551702,2130.21174707,2124.58587599
047r,20130925,above835.78,1986.46310412,2057.20481665,1924.45691365
047r,20130925,above835.88,1893.64984271,1959.84881842,1732.22336162
047r,20130925,above835.98,1800.24604686,1862.0676636,1549.56655069
047r,20130925,above836.08,1706.22091526,1763.82777696,1376.19788022
047r,20130925,above836.18,1604.38749591,1658.0292765,1212.4964572
047r,20130925,above836.28,1489.03018827,1539.03106045,1059.65218178
047r,20130925,above836.38,1364.18882106,1410.7313482,918.644532561
047r,20130925,above836.48,1224.8202165,1268.07074851,790.981994642
047r,20130925,above836.58,1075.55931833,1115.61933703,677.970167966
047r,20130925,above836.68,925.380680797,962.349157582,579.970718155
047r,20130925,above836.78,787.737141164,821.811404264,496.068392141
047r,20130925,above836.88,670.323950982,701.584066017,425.084107324
047r,20130925,above836.98,569.868759273,598.500128468,364.567647384
047r,20130925,above837.08,476.409140824,502.627138108,313.30044118
047r,20130925,above837.18,412.611699813,436.591242927,269.438074969
047r,20130925,above837.28,361.003537704,382.927013142,231.134025106
047r,20130925,above837.38,322.563007685,342.656265746,197.218351751
047r,20130925,above837.48,291.234519721,309.675633073,166.602837191
047r,20130925,above837.58,261.029541331,277.895634836,138.986717215
047r,20130925,above837.68,229.978697791,245.39090974,114.427699303
