Site,Date,Plane_Height,Area_2D,Area_3D,Volume
047r,20121007,8kto25k,4703.74537937,4774.33576692,5281.08691609
047r,20121007,above834.38,5688.05782696,5802.30147785,6094.49127533
047r,20121007,above834.48,5215.76501028,5326.9660956,5562.34910772
047r,20121007,above834.58,4789.68974613,4897.72196691,5071.30912706
047r,20121007,above834.68,4361.6969093,4466.35857947,4621.45692309
047r,20121007,above834.78,3980.17357917,4081.35937223,4210.6645859
047r,20121007,above834.88,3649.98804477,3747.64048567,3833.99879198
047r,20121007,above834.98,3355.57411275,3449.66216902,3487.49352698
047r,20121007,above835.08,3092.4858974,3183.11958442,3168.52442324
047r,20121007,above835.18,2852.46154124,2939.64650383,2873.96927597
047r,20121007,above835.28,2586.37388634,2670.01106113,2603.64062029
047r,20121007,above835.38,2373.32971112,2453.2062253,2358.2385453
047r,20121007,above835.48,2081.77309887,2157.97836338,2135.248018
047r,20121007,above835.58,1584.66603633,1657.41143981,1955.43519043
047r,20121007,above835.68,1512.834303,1582.03304657,1803.07868621
047r,20121007,above835.78,1456.89009914,1522.54591521,1656.64440885
047r,20121007,above835.88,1397.10379858,1459.39932055,1515.91591377
047r,20121007,above835.98,1330.63479979,1389.74950863,1381.48383797
047r,20121007,above836.08,1260.32945136,1316.37676169,1253.88033219
047r,20121007,above836.18,1190.23259971,1243.20340945,1133.29593726
047r,20121007,above836.28,1119.46141023,1169.32011574,1019.70122991
047r,20121007,above836.38,1049.15652437,1095.90315416,913.208386134
047r,20121007,above836.48,984.312447591,1027.96571093,813.404359239
047r,20121007,above836.58,922.000749722,962.614359083,719.924652386
047r,20121007,above836.68,860.654743645,898.276079384,632.607309439
047r,20121007,above836.78,794.120720863,828.808415846,551.54508403
047r,20121007,above836.88,718.09276135,749.911341952,477.630582912
047r,20121007,above836.98,642.018500294,670.980758422,410.968753726
047r,20121007,above837.08,552.637892992,578.935647292,351.767873695
047r,20121007,above837.18,452.943718431,476.650893529,302.333833979
047r,20121007,above837.28,389.653592431,411.005298401,260.818502603
047r,20121007,above837.38,354.860418699,374.214952835,223.85528455
047r,20121007,above837.48,321.049696557,338.603660285,190.079629286
047r,20121007,above837.58,288.52308055,304.409848689,159.626286562
047r,20121007,above837.68,258.193672144,272.518674932,132.308032489
